summary_key,subcategory,country,channel,year,month,year_month,units,revenue,is_excluded
Bag - Beach|AU|DTC|2024_10,Bag - Beach,AU,DTC,2024,10,2024_10,4,150.9,FALSE
Bag - Beach|AU|DTC|2024_11,Bag - Beach,AU,DTC,2024,11,2024_11,19,697.39,FALSE
Bag - Beach|AU|DTC|2024_12,Bag - Beach,AU,DTC,2024,12,2024_12,32,1318.54,FALSE
Bag - Beach|AU|DTC|2025_01,Bag - Beach,AU,DTC,2025,1,2025_01,8,319.23,FALSE
Bag - Beach|AU|DTC|2025_02,Bag - Beach,AU,DTC,2025,2,2025_02,3,82.23,FALSE
Bag - Beach|AU|DTC|2025_03,Bag - Beach,AU,DTC,2025,3,2025_03,7,283.71,FALSE
Bag - Beach|AU|DTC|2025_04,Bag - Beach,AU,DTC,2025,4,2025_04,7,290.19,FALSE
Bag - Beach|AU|DTC|2025_05,Bag - Beach,AU,DTC,2025,5,2025_05,9,321.71,FALSE
Bag - Beach|AU|DTC|2025_06,Bag - Beach,AU,DTC,2025,6,2025_06,9,229.67,FALSE
Bag - Beach|AU|DTC|2025_07,Bag - Beach,AU,DTC,2025,7,2025_07,17,600.4,FALSE
Bag - Beach|AU|DTC|2025_08,Bag - Beach,AU,DTC,2025,8,2025_08,22,812.59,FALSE
Bag - Beach|AU|DTC|2025_09,Bag - Beach,AU,DTC,2025,9,2025_09,14,522.24,FALSE
Bag - Beach|AU|DTC|2025_10,Bag - Beach,AU,DTC,2025,10,2025_10,28,1103.64,FALSE
Bag - Beach|AU|DTC|2025_11,Bag - Beach,AU,DTC,2025,11,2025_11,83,2351.99,FALSE
Bag - Beach|AU|DTC|2025_12,Bag - Beach,AU,DTC,2025,12,2025_12,150,4987.3,FALSE
Bag - Beach|AU|DTC|2026_01,Bag - Beach,AU,DTC,2026,1,2026_01,21,806.62,FALSE
Bag - Beach|AU|DTC|2026_02,Bag - Beach,AU,DTC,2026,2,2026_02,11,340.35,FALSE
Bag - Beach|AU|DTC|2026_03,Bag - Beach,AU,DTC,2026,3,2026_03,17,615.13,FALSE
Bag - Beach|AU|DTC|2026_04,Bag - Beach,AU,DTC,2026,4,2026_04,2,66.66,FALSE
Bag - Beach|AU|DTC|2026_05,Bag - Beach,AU,DTC,2026,5,2026_05,7,265.19,FALSE
Bag - Beach|AU|DTC|2026_06,Bag - Beach,AU,DTC,2026,6,2026_06,4,119.8,FALSE
Bag - Beach|AU|FBA|2025_12,Bag - Beach,AU,FBA,2025,12,2025_12,2,94.72,FALSE
Bag - Beach|CA|FBA|2025_03,Bag - Beach,CA,FBA,2025,3,2025_03,1,28.55,FALSE
Bag - Beach|EU|B2B|2024_08,Bag - Beach,EU,B2B,2024,8,2024_08,8,78.09,FALSE
Bag - Beach|EU|B2B|2024_09,Bag - Beach,EU,B2B,2024,9,2024_09,2,0,FALSE
Bag - Beach|EU|B2B|2024_10,Bag - Beach,EU,B2B,2024,10,2024_10,1,0,FALSE
Bag - Beach|EU|B2B|2024_12,Bag - Beach,EU,B2B,2024,12,2024_12,33,447.95,FALSE
Bag - Beach|EU|B2B|2025_04,Bag - Beach,EU,B2B,2025,4,2025_04,6,112.72,FALSE
Bag - Beach|EU|B2B|2025_05,Bag - Beach,EU,B2B,2025,5,2025_05,4,71.15,FALSE
Bag - Beach|EU|B2B|2025_06,Bag - Beach,EU,B2B,2025,6,2025_06,21,329.14,FALSE
Bag - Beach|EU|B2B|2025_07,Bag - Beach,EU,B2B,2025,7,2025_07,20,346.68,FALSE
Bag - Beach|EU|B2B|2025_08,Bag - Beach,EU,B2B,2025,8,2025_08,21,294.03,FALSE
Bag - Beach|EU|B2B|2025_09,Bag - Beach,EU,B2B,2025,9,2025_09,18,268.69,FALSE
Bag - Beach|EU|B2B|2025_12,Bag - Beach,EU,B2B,2025,12,2025_12,1,0,FALSE
Bag - Beach|EU|B2B|2026_01,Bag - Beach,EU,B2B,2026,1,2026_01,500,9221.85,FALSE
Bag - Beach|EU|B2B|2026_02,Bag - Beach,EU,B2B,2026,2,2026_02,0,478.14,FALSE
Bag - Beach|EU|B2B|2026_03,Bag - Beach,EU,B2B,2026,3,2026_03,4,79.56,FALSE
Bag - Beach|EU|B2B|2026_05,Bag - Beach,EU,B2B,2026,5,2026_05,6,117.8,FALSE
Bag - Beach|EU|B2B|2026_06,Bag - Beach,EU,B2B,2026,6,2026_06,10,118.86,FALSE
Bag - Beach|EU|DTC|2024_06,Bag - Beach,EU,DTC,2024,6,2024_06,3,97.66,FALSE
Bag - Beach|EU|DTC|2024_07,Bag - Beach,EU,DTC,2024,7,2024_07,12,318.91,FALSE
Bag - Beach|EU|DTC|2024_08,Bag - Beach,EU,DTC,2024,8,2024_08,5,184.45,FALSE
Bag - Beach|EU|DTC|2024_09,Bag - Beach,EU,DTC,2024,9,2024_09,2,73.39,FALSE
Bag - Beach|EU|DTC|2024_10,Bag - Beach,EU,DTC,2024,10,2024_10,1,34.64,FALSE
Bag - Beach|EU|DTC|2024_12,Bag - Beach,EU,DTC,2024,12,2024_12,7,228.33,FALSE
Bag - Beach|EU|DTC|2025_01,Bag - Beach,EU,DTC,2025,1,2025_01,11,372.33,FALSE
Bag - Beach|EU|DTC|2025_04,Bag - Beach,EU,DTC,2025,4,2025_04,2,79.04,FALSE
Bag - Beach|EU|DTC|2025_05,Bag - Beach,EU,DTC,2025,5,2025_05,23,788.51,FALSE
Bag - Beach|EU|DTC|2025_06,Bag - Beach,EU,DTC,2025,6,2025_06,44,1478.79,FALSE
Bag - Beach|EU|DTC|2025_07,Bag - Beach,EU,DTC,2025,7,2025_07,32,993.99,FALSE
Bag - Beach|EU|DTC|2025_08,Bag - Beach,EU,DTC,2025,8,2025_08,21,672.42,FALSE
Bag - Beach|EU|DTC|2025_09,Bag - Beach,EU,DTC,2025,9,2025_09,10,324.01,FALSE
Bag - Beach|EU|DTC|2025_11,Bag - Beach,EU,DTC,2025,11,2025_11,20,546.49,FALSE
Bag - Beach|EU|DTC|2025_12,Bag - Beach,EU,DTC,2025,12,2025_12,20,533.54,FALSE
Bag - Beach|EU|DTC|2026_01,Bag - Beach,EU,DTC,2026,1,2026_01,20,586.22,FALSE
Bag - Beach|EU|DTC|2026_02,Bag - Beach,EU,DTC,2026,2,2026_02,11,363.81,FALSE
Bag - Beach|EU|DTC|2026_03,Bag - Beach,EU,DTC,2026,3,2026_03,34,1028.96,FALSE
Bag - Beach|EU|DTC|2026_04,Bag - Beach,EU,DTC,2026,4,2026_04,29,971.02,FALSE
Bag - Beach|EU|DTC|2026_05,Bag - Beach,EU,DTC,2026,5,2026_05,28,923.75,FALSE
Bag - Beach|EU|DTC|2026_06,Bag - Beach,EU,DTC,2026,6,2026_06,11,404.4,FALSE
Bag - Beach|EU|FBA|2024_11,Bag - Beach,EU,FBA,2024,11,2024_11,1,47.71,FALSE
Bag - Beach|EU|FBA|2025_06,Bag - Beach,EU,FBA,2025,6,2025_06,1,56.46,FALSE
Bag - Beach|EU|FBA|2025_07,Bag - Beach,EU,FBA,2025,7,2025_07,2,85.88,FALSE
Bag - Beach|EU|FBA|2025_08,Bag - Beach,EU,FBA,2025,8,2025_08,2,85.74,FALSE
Bag - Beach|UK|B2B|2024_04,Bag - Beach,UK,B2B,2024,4,2024_04,7,120,FALSE
Bag - Beach|UK|B2B|2024_05,Bag - Beach,UK,B2B,2024,5,2024_05,7,140,FALSE
Bag - Beach|UK|B2B|2024_06,Bag - Beach,UK,B2B,2024,6,2024_06,11,223.9,FALSE
Bag - Beach|UK|B2B|2024_07,Bag - Beach,UK,B2B,2024,7,2024_07,7,100,FALSE
Bag - Beach|UK|B2B|2024_12,Bag - Beach,UK,B2B,2024,12,2024_12,14,280,FALSE
Bag - Beach|UK|B2B|2025_01,Bag - Beach,UK,B2B,2025,1,2025_01,8,126.54,FALSE
Bag - Beach|UK|B2B|2025_03,Bag - Beach,UK,B2B,2025,3,2025_03,9,177.65,FALSE
Bag - Beach|UK|B2B|2025_04,Bag - Beach,UK,B2B,2025,4,2025_04,41,1319.04,FALSE
Bag - Beach|UK|B2B|2025_05,Bag - Beach,UK,B2B,2025,5,2025_05,55,1084.29,FALSE
Bag - Beach|UK|B2B|2025_06,Bag - Beach,UK,B2B,2025,6,2025_06,65,1313.1,FALSE
Bag - Beach|UK|B2B|2025_07,Bag - Beach,UK,B2B,2025,7,2025_07,3,65.63,FALSE
Bag - Beach|UK|B2B|2026_01,Bag - Beach,UK,B2B,2026,1,2026_01,8,149.15,FALSE
Bag - Beach|UK|B2B|2026_02,Bag - Beach,UK,B2B,2026,2,2026_02,1,1040.61,FALSE
