sku_channel,sku,channel,units_2024_01,units_2024_02,units_2024_03,units_2024_04,units_2024_05,units_2024_06,units_2024_07,units_2024_08,units_2024_09,units_2024_10,units_2024_11,units_2024_12,units_2025_01,units_2025_02,units_2025_03,units_2025_04,units_2025_05,units_2025_06,units_2025_07,units_2025_08,units_2025_09,units_2025_10,units_2025_11,units_2025_12,units_2026_01,units_2026_02,units_2026_03,units_2026_04,units_2026_05,units_2026_06,units_2026_07,units_2026_08,units_2026_09,units_2026_10,units_2026_11,units_2026_12,revenue_2024_01,revenue_2024_02,revenue_2024_03,revenue_2024_04,revenue_2024_05,revenue_2024_06,revenue_2024_07,revenue_2024_08,revenue_2024_09,revenue_2024_10,revenue_2024_11,revenue_2024_12,revenue_2025_01,revenue_2025_02,revenue_2025_03,revenue_2025_04,revenue_2025_05,revenue_2025_06,revenue_2025_07,revenue_2025_08,revenue_2025_09,revenue_2025_10,revenue_2025_11,revenue_2025_12,revenue_2026_01,revenue_2026_02,revenue_2026_03,revenue_2026_04,revenue_2026_05,revenue_2026_06,revenue_2026_07,revenue_2026_08,revenue_2026_09,revenue_2026_10,revenue_2026_11,revenue_2026_12
BABIATOR-MD-LTPCH - B2B,BABIATOR-MD-LTPCH,B2B,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45,0,166.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-MD-LTPCH - DTC,BABIATOR-MD-LTPCH,DTC,6,6,1,5,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.32,61.76,18,0,330.13,8.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-MD-LTPNK - B2B,BABIATOR-MD-LTPNK,B2B,0,0,0,2,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0,226.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-MD-LTPNK - DTC,BABIATOR-MD-LTPNK,DTC,15,10,2,7,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.67,105.33,42.9,40,618.09,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-MD-NAVY - B2B,BABIATOR-MD-NAVY,B2B,0,0,0,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.25,0,108.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-MD-NAVY - DTC,BABIATOR-MD-NAVY,DTC,19,5,2,13,65,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.85,65.66,39.63,63.66,546.92,38.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-MD-SQUIG - B2B,BABIATOR-MD-SQUIG,B2B,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-MD-SQUIG - DTC,BABIATOR-MD-SQUIG,DTC,10,8,0,10,51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.42,99.03,0,0,450.93,50.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-SM-LTPCH - B2B,BABIATOR-SM-LTPCH,B2B,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BABIATOR-SM-LTPCH - DTC,BABIATOR-SM-LTPCH,DTC,3,9,1,3,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.63,98.73,18,0,305.54,63.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
