subcategory,country,channel,year_month,status,live_units,desired_units,delta_units,live_revenue,desired_revenue,delta_revenue
Bag - Beach,AU,DTC,2024_10,matched,4,4,0,150.9,150.9,0.0
Bag - Beach,AU,DTC,2024_11,matched,19,19,0,697.39,697.39,0.0
Bag - Beach,AU,DTC,2024_12,matched,32,32,0,1318.54,1318.54,0.0
Bag - Beach,AU,DTC,2025_01,matched,8,8,0,319.23,319.23,0.0
Bag - Beach,AU,DTC,2025_02,matched,3,3,0,82.23,82.23,0.0
Bag - Beach,AU,DTC,2025_03,matched,7,7,0,283.71,283.71,0.0
Bag - Beach,AU,DTC,2025_04,matched,5,5,0,205.39,205.39,0.0
Bag - Beach,AU,DTC,2025_05,matched,6,6,0,221.23,221.23,0.0
Bag - Beach,AU,DTC,2025_06,matched,6,6,0,169.98,169.98,0.0
Bag - Beach,AU,DTC,2025_07,matched,11,11,0,388.76,388.76,0.0
Bag - Beach,AU,DTC,2025_08,matched,16,16,0,597.94,597.94,0.0
Bag - Beach,AU,DTC,2025_09,matched,9,9,0,333.09,333.09,0.0
Bag - Beach,AU,DTC,2025_10,matched,18,18,0,705.94,705.94,0.0
Bag - Beach,AU,DTC,2025_11,matched,52,52,0,1529.43,1529.43,0.0
Bag - Beach,AU,DTC,2025_12,matched,88,88,0,2985.06,2985.06,0.0
Bag - Beach,AU,DTC,2026_01,matched,17,17,0,662.24,662.24,0.0
Bag - Beach,AU,DTC,2026_02,matched,6,6,0,191.57,191.57,0.0
Bag - Beach,AU,DTC,2026_03,matched,9,9,0,325.99,325.99,0.0
Bag - Beach,AU,DTC,2026_04,matched,1,1,0,33.33,33.33,0.0
Bag - Beach,AU,DTC,2026_05,matched,4,4,0,152.89,152.89,0.0
Bag - Beach,AU,DTC,2026_06,matched,5,5,0,148.45,148.45,0.0
Bag - Beach,AU,DTC,2026_07,matched,5,5,0,184.01,184.01,0.0
Bag - Beach,AU,FBA,2025_12,matched,1,1,0,47.36,47.36,0.0
Bag - Beach,AU,FBA,2026_08,matched,1,1,0,40.34,40.34,0.0
Bag - Beach,CA,FBA,2025_03,matched,1,1,0,28.55,28.55,0.0
Bag - Beach,EU,B2B,2024_08,matched,8,8,0,78.09,78.09,0.0
Bag - Beach,EU,B2B,2024_09,matched,2,2,0,0.0,0.0,0.0
Bag - Beach,EU,B2B,2024_10,matched,1,1,0,0.0,0.0,0.0
Bag - Beach,EU,B2B,2024_12,matched,33,33,0,447.95,447.95,0.0
Bag - Beach,EU,B2B,2025_04,matched,3,3,0,56.36,56.36,0.0
Bag - Beach,EU,B2B,2025_05,matched,3,3,0,51.66,51.66,0.0
Bag - Beach,EU,B2B,2025_06,matched,11,11,0,174.38,174.38,0.0
Bag - Beach,EU,B2B,2025_07,matched,12,12,0,183.27,183.27,0.0
Bag - Beach,EU,B2B,2025_08,matched,20,20,0,294.15,294.15,0.0
Bag - Beach,EU,B2B,2025_09,matched,12,12,0,181.18,181.18,0.0
Bag - Beach,EU,B2B,2025_12,matched,1,1,0,0.0,0.0,0.0
Bag - Beach,EU,B2B,2026_01,matched,500,500,0,9221.85,9221.85,0.0
Bag - Beach,EU,B2B,2026_02,matched,0,0,0,478.14,478.14,0.0
Bag - Beach,EU,B2B,2026_03,matched,4,4,0,79.56,79.56,0.0
Bag - Beach,EU,B2B,2026_05,matched,6,6,0,117.8,117.8,0.0
Bag - Beach,EU,B2B,2026_06,matched,10,10,0,118.86,118.86,0.0
Bag - Beach,EU,B2B,2026_08,matched,10,10,0,196.0,196.0,0.0
Bag - Beach,EU,DTC,2024_06,matched,3,3,0,97.66,97.66,0.0
Bag - Beach,EU,DTC,2024_07,matched,12,12,0,318.91,318.91,0.0
Bag - Beach,EU,DTC,2024_08,matched,5,5,0,184.45,184.45,0.0
Bag - Beach,EU,DTC,2024_09,matched,2,2,0,73.39,73.39,0.0
Bag - Beach,EU,DTC,2024_10,matched,1,1,0,34.64,34.64,0.0
Bag - Beach,EU,DTC,2024_12,matched,7,7,0,228.33,228.33,0.0
Bag - Beach,EU,DTC,2025_01,matched,11,11,0,372.33,372.33,0.0
Bag - Beach,EU,DTC,2025_04,matched,1,1,0,39.52,39.52,0.0
Bag - Beach,EU,DTC,2025_05,matched,14,14,0,475.17,475.17,0.0
Bag - Beach,EU,DTC,2025_06,matched,28,28,0,938.42,938.42,0.0
Bag - Beach,EU,DTC,2025_07,matched,19,19,0,594.19,594.19,0.0
Bag - Beach,EU,DTC,2025_08,matched,14,14,0,461.52,461.52,0.0
Bag - Beach,EU,DTC,2025_09,matched,7,7,0,234.23,234.23,0.0
Bag - Beach,EU,DTC,2025_11,matched,11,11,0,305.11,305.11,0.0
Bag - Beach,EU,DTC,2025_12,matched,10,10,0,266.77,266.77,0.0
Bag - Beach,EU,DTC,2026_01,matched,10,10,0,293.11,293.11,0.0
Bag - Beach,EU,DTC,2026_02,matched,7,7,0,237.65,237.65,0.0
Bag - Beach,EU,DTC,2026_03,matched,21,21,0,653.59,653.59,0.0
Bag - Beach,EU,DTC,2026_04,matched,18,18,0,626.42,626.42,0.0
Bag - Beach,EU,DTC,2026_05,matched,19,19,0,643.56,643.56,0.0
Bag - Beach,EU,DTC,2026_06,matched,12,12,0,446.46,446.46,0.0
Bag - Beach,EU,FBA,2024_11,matched,1,1,0,47.71,47.71,0.0
Bag - Beach,EU,FBA,2025_06,matched,1,1,0,56.46,56.46,0.0
Bag - Beach,EU,FBA,2025_07,matched,2,2,0,85.88,85.88,0.0
Bag - Beach,EU,FBA,2025_08,matched,1,1,0,42.87,42.87,0.0
Bag - Beach,EU,FBA,2026_07,matched,2,2,0,95.13,95.13,0.0
Bag - Beach,UK,B2B,2024_01,only_live (drop),60,,-60,757.15,,-757.15
Bag - Beach,UK,B2B,2024_02,only_live (drop),399,,-399,3666.63,,-3666.63
Bag - Beach,UK,B2B,2024_03,only_live (drop),1003,,-1003,9780.8,,-9780.8
Bag - Beach,UK,B2B,2024_04,matched,7,7,0,120.0,120.0,0.0
Bag - Beach,UK,B2B,2024_05,matched,7,7,0,140.0,140.0,0.0
Bag - Beach,UK,B2B,2024_06,matched,11,11,0,223.9,223.9,0.0
Bag - Beach,UK,B2B,2024_07,matched,7,7,0,100.0,100.0,0.0
Bag - Beach,UK,B2B,2024_08,only_live (drop),1125,,-1125,10686.27,,-10686.27
Bag - Beach,UK,B2B,2024_09,only_live (drop),33,,-33,345.91,,-345.91
Bag - Beach,UK,B2B,2024_10,only_live (drop),32,,-32,304.14,,-304.14
Bag - Beach,UK,B2B,2024_11,only_live (drop),25,,-25,225.22,,-225.22
Bag - Beach,UK,B2B,2024_12,matched,14,14,0,280.0,280.0,0.0
Bag - Beach,UK,B2B,2025_01,matched,8,8,0,126.54,126.54,0.0
Bag - Beach,UK,B2B,2025_02,only_live (drop),-375,,375,9684.93,,-9684.93
Bag - Beach,UK,B2B,2025_03,matched,9,9,0,177.65,177.65,0.0
Bag - Beach,UK,B2B,2025_04,matched,29,29,0,1082.64,1082.64,0.0
Bag - Beach,UK,B2B,2025_05,matched,34,34,0,668.77,668.77,0.0
Bag - Beach,UK,B2B,2025_06,matched,40,40,0,806.97,806.97,0.0
Bag - Beach,UK,B2B,2025_07,matched,2,2,0,43.78,43.78,0.0
Bag - Beach,UK,B2B,2025_08,only_live (drop),248,,-248,2065.5,,-2065.5
Bag - Beach,UK,B2B,2025_09,only_live (drop),227,,-227,2233.96,,-2233.96
Bag - Beach,UK,B2B,2025_10,only_live (drop),58,,-58,677.46,,-677.46
Bag - Beach,UK,B2B,2025_11,only_live (drop),9,,-9,110.93,,-110.93
Bag - Beach,UK,B2B,2025_12,only_live (drop),138,,-138,1561.96,,-1561.96
Bag - Beach,UK,B2B,2026_01,matched,8,8,0,149.15,149.15,0.0
Bag - Beach,UK,B2B,2026_02,matched,1,1,0,1040.61,1040.61,0.0
Bag - Beach,UK,B2B,2026_03,matched,10,10,0,191.32,191.32,0.0
Bag - Beach,UK,B2B,2026_04,only_live (drop),1918,,-1918,21931.09,,-21931.09
