subcategory,sku,mismatch_type,status,discontinue_final,discontinue_au,discontinue_ca,launch_uk,launch_us,launch_eu,launch_au
Kids Towel - Home,HOODT-ANI-HD-4SET,NO_DISCONTINUE_DATE,,,,,,,,
Kids Towel - Home,HOODT-ANI-HD-FROG,NO_DISCONTINUE_DATE,,,,,,,,
Kids Towel - Home,HOODT-ANI-HD-GIRAF,NO_DISCONTINUE_DATE,,,,,,,,
Kids Towel - Home,HOODT-ANI-HD-KOALA,NO_DISCONTINUE_DATE,,,,,,,,
Kids Towel - Home,HOODT-ANI-HD-PIG,NO_DISCONTINUE_DATE,,,,,,,,
Kids Towel - Home,HOODT-ANI-PK-FROG,NO_DISCONTINUE_DATE,,,,,,,,
Kids Towel - Home,HOODT-ANI-PK-GIRAF,NO_DISCONTINUE_DATE,,,,,,,,
Kids Towel - Home,HOODT-ANI-PK-KOALA,NO_DISCONTINUE_DATE,,,,,,,,
Kids Towel - Home,HOODT-ANI-PK-PIG,NO_DISCONTINUE_DATE,,,,,,,,
Kids Towel - Home,HOODT-ANI-SM-GIRAF,NO_DISCONTINUE_DATE,,,,,,,,
Kids Towel - Home,HOODT-ANI-SM-KOALA,NO_DISCONTINUE_DATE,,,,,,,,
Kids Towel - Home,HOODT-CLA-SM-LTBLU,NO_DISCONTINUE_DATE,,,,,,,,
Kids Towel - Home,HOODT-CLA-SM-LTPNK,NO_DISCONTINUE_DATE,,,,,,,,
Kids Towel - Home,HOODT-CLA-SM-NAVY,NO_DISCONTINUE_DATE,,,,,,,,
Kids Towel - Home,HOODT-CLA-SM-WHITE,NO_DISCONTINUE_DATE,,,,,,,,
Makeup Remover,DB-WL-MAKUP,NO_DISCONTINUE_DATE,ACTIVE,,,,,,,
Makeup Remover,MAKUP-CBH-3MIX,NO_DISCONTINUE_DATE,,,,,,,,
Makeup Remover,MAKUP-CLA-NAVY,NO_DISCONTINUE_DATE,,,,,,,,
Makeup Remover,MAKUP-CLA-NAVY-NB,NO_DISCONTINUE_DATE,,,,,,,,
Makeup Remover,MAKUP-GEO-3MIX,NO_DISCONTINUE_DATE,,,,,,,,
Makeup Remover,MAKUP-HOM-3PAK-LTBLU,NO_DISCONTINUE_DATE,,,,,,,,
Makeup Remover,MAKUP-HOM-3PAK-LTGRN,NO_DISCONTINUE_DATE,,,,,,,,
Makeup Remover,MAKUP-HOM-3PAK-LTPNK,NO_DISCONTINUE_DATE,,,,,,,,
Makeup Remover,MAKUP-HOM-3PAK-NAVY,NO_DISCONTINUE_DATE,,,,,,,,
Makeup Remover,MAKUP-HOM-3PAK-TERRA,NO_DISCONTINUE_DATE,,,,,,,,
Makeup Remover,MAKUP-HOM-5SET,NO_DISCONTINUE_DATE,,,,,,,,
Makeup Remover,MAKUP-HOM-6PAK-FBA,NO_DISCONTINUE_DATE,,,,,,,,
Makeup Remover,MAKUP-HOM-9PAK-FBA,NO_DISCONTINUE_DATE,,,,,,,,
Makeup Remover,MAKUP-RET-MONT,NO_DISCONTINUE_DATE,,,,,,,,
Makeup Remover,MAKUP-STD-LTPNK-NB,NO_DISCONTINUE_DATE,,,,,,,,
Makeup Remover,MAKUP-STD-NAVY-NB,NO_DISCONTINUE_DATE,,,,,,,,
