issue,sku,subcategory,category,status,discontinue_final,fix_hint
DISCONTINUED_SUBCAT_ACTIVE_SKU,HOODT-ANI-HD-4SET,Kids Towel - Home,Kids Towel - Home,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,HOODT-ANI-HD-FROG,Kids Towel - Home,Kids Towel - Home,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,HOODT-ANI-HD-GIRAF,Kids Towel - Home,Kids Towel - Home,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,HOODT-ANI-HD-KOALA,Kids Towel - Home,Kids Towel - Home,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,HOODT-ANI-HD-PIG,Kids Towel - Home,Kids Towel - Home,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,HOODT-ANI-PK-FROG,Kids Towel - Home,Kids Towel - Home,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,HOODT-ANI-PK-GIRAF,Kids Towel - Home,Kids Towel - Home,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,HOODT-ANI-PK-KOALA,Kids Towel - Home,Kids Towel - Home,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,HOODT-ANI-PK-PIG,Kids Towel - Home,Kids Towel - Home,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,HOODT-ANI-SM-GIRAF,Kids Towel - Home,Kids Towel - Home,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,HOODT-ANI-SM-KOALA,Kids Towel - Home,Kids Towel - Home,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,HOODT-CLA-SM-LTBLU,Kids Towel - Home,Kids Towel - Home,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,HOODT-CLA-SM-LTPNK,Kids Towel - Home,Kids Towel - Home,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,HOODT-CLA-SM-NAVY,Kids Towel - Home,Kids Towel - Home,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,HOODT-CLA-SM-WHITE,Kids Towel - Home,Kids Towel - Home,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,DB-WL-MAKUP,Makeup Remover,Makeup Remover,ACTIVE,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,MAKUP-CBH-3MIX,Makeup Remover,Makeup Remover,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,MAKUP-CLA-NAVY,Makeup Remover,Makeup Remover,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,MAKUP-CLA-NAVY-NB,Makeup Remover,Makeup Remover,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,MAKUP-GEO-3MIX,Makeup Remover,Makeup Remover,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,MAKUP-HOM-3PAK-LTBLU,Makeup Remover,Makeup Remover,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,MAKUP-HOM-3PAK-LTGRN,Makeup Remover,Makeup Remover,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,MAKUP-HOM-3PAK-LTPNK,Makeup Remover,Makeup Remover,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,MAKUP-HOM-3PAK-NAVY,Makeup Remover,Makeup Remover,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,MAKUP-HOM-3PAK-TERRA,Makeup Remover,Makeup Remover,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,MAKUP-HOM-5SET,Makeup Remover,Makeup Remover,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,MAKUP-HOM-6PAK-FBA,Makeup Remover,Makeup Remover,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,MAKUP-HOM-9PAK-FBA,Makeup Remover,Makeup Remover,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,MAKUP-RET-MONT,Makeup Remover,Makeup Remover,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,MAKUP-STD-LTPNK-NB,Makeup Remover,Makeup Remover,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,MAKUP-STD-NAVY-NB,Makeup Remover,Makeup Remover,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-DES-LG-DRFT,Poncho - Adults SEASONAL,Poncho - Adults,ACTIVE,2027-09-01,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-DES-LG-IBZAGLW,Poncho - Adults SEASONAL,Poncho - Adults,ACTIVE,2026-08-31,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-DES-LG-PCHBCH,Poncho - Adults SEASONAL,Poncho - Adults,ACTIVE,2027-09-01,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-DES-LG-TERATROP,Poncho - Adults SEASONAL,Poncho - Adults,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-DES-LG-WAVYBBY,Poncho - Adults SEASONAL,Poncho - Adults,ACTIVE,2026-08-31,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-DES-LG-WTRSUG,Poncho - Adults SEASONAL,Poncho - Adults,ACTIVE,2026-08-31,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-DES-MD-DRFT,Poncho - Adults SEASONAL,Poncho - Adults,ACTIVE,2027-09-01,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-DES-MD-IBZAGLW,Poncho - Adults SEASONAL,Poncho - Adults,ACTIVE,2026-08-31,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-DES-MD-PCHBCH,Poncho - Adults SEASONAL,Poncho - Adults,ACTIVE,2027-09-01,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-DES-MD-TERATROP,Poncho - Adults SEASONAL,Poncho - Adults,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-DES-MD-WAVYBBY,Poncho - Adults SEASONAL,Poncho - Adults,ACTIVE,2026-08-31,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-DES-MD-WTRSUG,Poncho - Adults SEASONAL,Poncho - Adults,ACTIVE,2026-08-31,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-DES-XL-DRFT,Poncho - Adults SEASONAL,Poncho - Adults,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-DES-XL-PCHBCH,Poncho - Adults SEASONAL,Poncho - Adults,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-SGW-LG-GETWAV,Poncho - Adults SEASONAL,Poncho - Adults,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-SGW-MD-GETWAV,Poncho - Adults SEASONAL,Poncho - Adults,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-SUM-LG-CSTCANDY,Poncho - Adults SEASONAL,Poncho - Adults,ACTIVE,2028-01-01,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-SUM-LG-LAZRIV,Poncho - Adults SEASONAL,Poncho - Adults,ACTIVE,2026-10-31,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-SUM-MD-CSTCANDY,Poncho - Adults SEASONAL,Poncho - Adults,ACTIVE,2028-01-01,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHA-SUM-MD-PCHSUN,Poncho - Adults SEASONAL,Poncho - Adults,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHK-DES-MD-CLBSDA,Poncho - Kids SEASONAL,Poncho - Kids,ACTIVE,2027-09-01,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHK-DES-MD-SPCYLME,Poncho - Kids SEASONAL,Poncho - Kids,ACTIVE,2027-09-01,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHK-DES-SM-CLBSDA,Poncho - Kids SEASONAL,Poncho - Kids,ACTIVE,2027-09-01,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHK-DES-SM-SPCYLME,Poncho - Kids SEASONAL,Poncho - Kids,ACTIVE,2027-09-01,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHK-KID-MD-CAMO,Poncho - Kids SEASONAL,Poncho - Kids,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHK-KID-MD-CAMO-NS,Poncho - Kids SEASONAL,Poncho - Kids,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHK-KID-MD-CHECKOUT,Poncho - Kids SEASONAL,Poncho - Kids,ACTIVE,2026-08-31,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHK-KID-MD-CROC,Poncho - Kids SEASONAL,Poncho - Kids,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHK-KID-MD-DOODMOOD,Poncho - Kids SEASONAL,Poncho - Kids,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHK-KID-MD-FIVEDAY,Poncho - Kids SEASONAL,Poncho - Kids,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHK-KID-MD-FLAM,Poncho - Kids SEASONAL,Poncho - Kids,,,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHK-KID-MD-GVCLUB,Poncho - Kids SEASONAL,Poncho - Kids,ACTIVE,2026-08-31,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHK-KID-MD-INTOWILD,Poncho - Kids SEASONAL,Poncho - Kids,ACTIVE,2026-08-31,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHK-KID-MD-JELLY,Poncho - Kids SEASONAL,Poncho - Kids,ACTIVE,2026-08-31,"Set a past discontinue date, OR reassign to an active subcategory"
DISCONTINUED_SUBCAT_ACTIVE_SKU,PONCHK-KID-MD-POWER,Poncho - Kids SEASONAL,Poncho - Kids,,,"Set a past discontinue date, OR reassign to an active subcategory"
