Reference,Type,Amount_USD,Date,Paid Status,Market,Production Deposit,Class,Supplier,Direct to Client?,Month,Amount GBP,UK Deposit Ref
"PO-23AUXR1",Deposit,1985.37,2020-10-27,TRUE,"AU","P23-AU-XR",committed,"XR Textile",FALSE,Oct-20,1481.62,"23"
"PO-23AUFY1",Deposit,5271.75,2020-11-25,FALSE,"AU","",committed,"Shaoxing Fengying (Belinda)",FALSE,Nov-20,3934.14,""
"PO-23AUFY2",Deposit,2544.30,2020-11-25,FALSE,"AU","",committed,"Shaoxing Fengying (Belinda)",FALSE,Nov-20,1898.73,""
"PO-23CAFY1",Deposit,2969.36,2020-11-25,FALSE,"CA","P24-UK-FY",committed,"Shaoxing Fengying (Belinda)",FALSE,Nov-20,2215.94,"24"
"PO-10649",Deposit,16100.01,2020-12-09,TRUE,"AU","P23-AU-XR",committed,"XR Textile",TRUE,Dec-20,12014.93,"23"
"PO-24AUXR2",Deposit,9280.38,2021-01-01,TRUE,"AU","P24-AU-XR",committed,"XR Textile",TRUE,Jan-21,6925.66,"24"
"PO-23CAXR1",Deposit,19006.17,2021-01-15,TRUE,"CA","P23-UK-XR",committed,"XR Textile",FALSE,Jan-21,14183.71,"23"
"PO-23UKXR1",Deposit,35108.10,2021-01-15,TRUE,"UK","P23-UK-XR",committed,"XR Textile",FALSE,Jan-21,26200.07,"23"
"PO-23USXR1",Deposit,40087.80,2021-01-15,TRUE,"US","P23-UK-XR",committed,"XR Textile",FALSE,Jan-21,29916.27,"23"
"PO-39561",Deposit,195.47,2021-01-15,TRUE,"US","P23-UK-XR",committed,"XR Textile",TRUE,Jan-21,145.87,"23"
"PO-39563",Deposit,1505.28,2021-01-15,TRUE,"US","P23-UK-XR",committed,"XR Textile",TRUE,Jan-21,1123.34,"23"
"PO-24USXR1",Deposit,28981.62,2021-02-04,TRUE,"US","P24-UK-XR",committed,"XR Textile",FALSE,Feb-21,21628.07,"24"
"PO-89494",Deposit,2351.04,2021-02-04,TRUE,"US","P24-UK-XR",committed,"XR Textile",TRUE,Feb-21,1754.51,"24"
"PO-25AUXR1",Deposit,12855.99,2021-03-16,TRUE,"AU","P25-AU-XR",committed,"XR Textile",TRUE,Mar-21,9594.02,"25"
