sku,reason,units,revenue,actuals_rows,first_month,last_month,countries,channels
CUSTOM-LOGO,null_subcategory,37892,44411.51,109,2024-01,2026-08,EU/UK/US,B2B/DTC
PERSONALISE_4_12,null_subcategory,17658,140635.02,98,2024-01,2026-08,AU/UK/US,B2B/DTC/FBA
|DTC,no_product_row,14716,49186.33,68,2024-01,2026-05,AU/EU/UK/US,DTC
PERSONALISE_1_3,null_subcategory,6047,39624.76,94,2024-01,2026-08,AU/UK/US,DTC/FBA
|B2B,no_product_row,5924,88742.23,64,2024-01,2026-06,EU/UK/US,B2B
|FBA,no_product_row,5306,170226.57,80,2024-03,2026-06,AU/CA/EU/UK/US,FBA
GIFTWRAP-BOX,null_subcategory,2213,10575.79,46,2024-01,2026-08,AU/UK/US,DTC
FAIRE-PAYMENT-PROCESSING-FEE,null_subcategory,1717,2598.61,66,2024-01,2026-08,EU/UK/US,B2B
FAIRE-COMMISSION,null_subcategory,1708,42359.02,66,2024-01,2026-08,EU/UK/US,B2B
DOGTWL-MD-PUPLAID,null_subcategory,1584,23150.27,137,2024-08,2026-08,AU/EU/UK/US,B2B/DTC/FBA
GIFTWRAP-CARD,null_subcategory,1337,2303.89,32,2024-01,2026-08,UK,DTC
DOGTWL-LG-PAWPPL,null_subcategory,1228,14883.73,133,2024-01,2026-08,AU/CA/EU/UK/US,B2B/DTC/FBA
DOGTWL-MD-BARKBLU,null_subcategory,1210,15307.53,145,2024-01,2026-07,AU/CA/EU/UK/US,B2B/DTC/FBA
DOGTWL-LG-PUPLAID,null_subcategory,1064,15482.46,108,2024-09,2026-07,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-CAB-LG-CORAL,null_subcategory,1045,16151.55,108,2024-01,2025-12,AU/CA/EU/UK/US,B2B/DTC/FBA
DOGTWL-CAB-LG-RAINB,null_subcategory,1014,14371.23,131,2024-01,2026-07,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-LG-K9CAMO,null_subcategory,933,15499.71,110,2024-09,2026-08,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-MD-K9CAMO,null_subcategory,866,12393.29,112,2024-08,2026-07,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-LG-WHERWOOF,null_subcategory,854,14539.82,105,2024-10,2026-08,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-LG-RHUBARK,null_subcategory,850,12255.58,115,2024-09,2026-08,AU/EU/UK/US,B2B/DTC/FBA
DOGTWL-MD-WALK,null_subcategory,814,9572.94,124,2024-01,2026-07,AU/CA/EU/UK/US,B2B/DTC/FBA
DOGTWL-DES-MD-FACES,null_subcategory,804,9828.26,119,2024-01,2026-08,AU/EU/UK/US,B2B/DTC/FBA
