sku,tier,core_seasonal,discontinue_date,us_3pl_on_hand,in_scope_markets
ACTIVE-SML-ORANGE,C,,2021-01-01,1,"US 3PL, UK 3PL, EU 3PL, AU 3PL"
ACTIVE-XLG-GREY,C,,2021-01-01,2,"US 3PL, UK 3PL, EU 3PL, AU 3PL"
BAGBCH-MD-NAVY,C,Core,2026-08-31,41,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, AU FBA"
BAGBCH-MD-OLIVE,C,Seasonal,2026-07-21,0,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, AU FBA"
BAGBCH-MD-PSTPIER,C,Seasonal,2026-08-31,0,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, AU FBA"
BAGBCH-MD-RSPROAD,C,Seasonal,2026-08-31,0,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, AU FBA"
BAGCOOL-MD-APPLTRT,A,Seasonal,2026-08-31,-4,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, AU FBA"
BAGCOOL-MD-COLCLUB,B,Seasonal,2026-08-31,0,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, AU FBA"
BAGDRY-MD-IBZAGLW,A,Seasonal,2026-08-31,44,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, EU FBA, AU FBA"
BAGDRY-MD-WAVYBBY,A,Seasonal,2026-08-31,43,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, EU FBA, AU FBA"
BAGDRY-XS-HOTTROP,B,Seasonal,2026-08-31,164,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, EU FBA, AU FBA"
BAGDRY-XS-WAVYBBY,A,Seasonal,2026-08-31,280,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, EU FBA, AU FBA"
BAGDRY-XS-WYWH,A,Seasonal,2026-08-31,353,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, EU FBA, AU FBA"
BAGF-DES-MD-BANARAM,C,Seasonal,2026-07-21,0,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, EU FBA, AU FBA"
BAGF-DES-MD-CHECKMT,C,Seasonal,2026-07-21,0,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, EU FBA, AU FBA"
BAGF-DES-MD-GROOVCH,C,Seasonal,2026-07-21,0,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, EU FBA, AU FBA"
BAGF-DES-MD-IBZAGLW,B,Seasonal,2026-08-31,610,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, EU FBA, AU FBA"
BAGF-DES-MD-SPRCLUB,B,Seasonal,2026-08-31,832,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, EU FBA, AU FBA"
BAGF-DES-MD-STRIPLIFE,C,Seasonal,2026-07-21,0,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, EU FBA, AU FBA"
BAGF-DES-MD-WAVYBBY,A,Seasonal,2026-08-31,931,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, EU FBA, AU FBA"
BAGF-DES-MD-WTRSUG,B,Seasonal,2026-08-31,681,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, EU FBA, AU FBA"
BAGF-DES-MD-WYWH,A,Seasonal,2026-08-31,498,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, EU FBA, AU FBA"
BAGTOI-MD-NAVY,C,Core,2025-06-30,544,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, EU FBA, AU FBA, CA FBA"
BAGTOI-MD-PINK,C,Core,2025-06-30,0,"US 3PL, UK 3PL, EU 3PL, AU 3PL, US FBA, UK FBA, EU FBA, AU FBA, CA FBA"
BALLAST-CAB-NAVY,C,Core,2026-08-31,0,"US 3PL, UK 3PL, EU 3PL, AU 3PL, UK FBA, AU FBA"
BALLAST-DES-GRECSH,A,Seasonal,2026-08-31,0,"UK 3PL, EU 3PL, AU 3PL, UK FBA, AU FBA"
BALLAST-SUM-MIAMI,C,Seasonal,2026-08-31,0,"US 3PL, UK 3PL, EU 3PL, AU 3PL, UK FBA, AU FBA"
BOTTL-CAB-LTGRE,C,,2022-04-01,0,"US 3PL, UK 3PL, EU 3PL, AU 3PL"
CABANA-LAR-BLUE,C,,2021-01-01,4,"US 3PL, UK 3PL, EU 3PL, AU 3PL"
CABANA-LAR-LIGHT-RED,C,,2021-01-01,1,"US 3PL, UK 3PL, EU 3PL, AU 3PL"
CABANA-LAR-PINK,C,,2021-01-01,1,"US 3PL, UK 3PL, EU 3PL, AU 3PL"
CABANA-XLG-BLUE,C,,2021-01-01,4,"US 3PL, UK 3PL, EU 3PL, AU 3PL"
CABANA-XLG-BLUENAVY,C,,2021-01-01,1,"US 3PL, UK 3PL, EU 3PL, AU 3PL"
