subcategory,country,channel,month,value_raw,source
Poncho - Adults CORE,UK,B2B,2027-03-01,0.194,airtable_bridge_sync
Poncho - Adults CORE,UK,B2B,2027-04-01,0.2,airtable_bridge_sync
Poncho - Adults CORE,UK,B2B,2027-05-01,0.5,airtable_bridge_sync
Poncho - Adults CORE,UK,DTC,2026-06-01,-0.2,airtable_bridge_sync
Poncho - Adults CORE,UK,DTC,2026-07-01,-0.1,airtable_bridge_sync
Poncho - Adults CORE,UK,DTC,2027-01-01,-0.2,airtable_bridge_sync
Poncho - Adults CORE,UK,DTC,2027-02-01,-0.194,airtable_bridge_sync
Poncho - Adults CORE,US,B2B,2027-02-01,0.5,airtable_bridge_sync
Poncho - Adults CORE,US,B2B,2027-03-01,0.833,airtable_bridge_sync
Poncho - Adults CORE,US,DTC,2026-11-01,0.222,airtable_bridge_sync
Poncho - Adults CORE,US,DTC,2026-12-01,0.188,airtable_bridge_sync
Poncho - Adults CORE,US,DTC,2027-02-01,0.25,airtable_bridge_sync
Poncho - Adults CORE,US,DTC,2027-03-01,0.211,airtable_bridge_sync
Poncho - Adults CORE,US,DTC,2027-04-01,0.2,airtable_bridge_sync
Poncho - Adults CORE,US,DTC,2027-05-01,1,airtable_bridge_sync
Poncho - Adults CORE,US,DTC,2027-06-01,0.195,airtable_bridge_sync
Poncho - Adults CORE,US,DTC,2027-11-01,0.182,airtable_bridge_sync
Poncho - Adults CORE,US,DTC,2027-12-01,0.211,airtable_bridge_sync
Poncho - Adults CORE,US,FBA,2027-02-01,0.2,airtable_bridge_sync
Poncho - Adults CORE,US,FBA,2027-03-01,0.188,airtable_bridge_sync
Poncho - Adults CORE,US,FBA,2027-04-01,0.231,airtable_bridge_sync
Poncho - Adults CORE,US,FBA,2027-05-01,0.2,airtable_bridge_sync
Poncho - Adults CORE,US,FBA,2027-06-01,0.25,airtable_bridge_sync
Poncho - Adults SEASONAL,UK,B2B,2027-03-01,0.2,airtable_bridge_sync
Poncho - Adults SEASONAL,UK,B2B,2027-04-01,0.231,airtable_bridge_sync
Poncho - Adults SEASONAL,UK,B2B,2027-05-01,0.5,airtable_bridge_sync
Poncho - Adults SEASONAL,UK,DTC,2027-01-01,-0.2,airtable_bridge_sync
Poncho - Adults SEASONAL,UK,DTC,2027-02-01,-0.203,airtable_bridge_sync
Poncho - Adults SEASONAL,US,B2B,2027-02-01,0.5,airtable_bridge_sync
Poncho - Adults SEASONAL,US,B2B,2027-03-01,0.786,airtable_bridge_sync
Poncho - Adults SEASONAL,US,DTC,2026-06-01,0.5,airtable_bridge_sync
Poncho - Adults SEASONAL,US,DTC,2026-07-01,0.5,airtable_bridge_sync
Poncho - Adults SEASONAL,US,DTC,2026-12-01,0.25,airtable_bridge_sync
Poncho - Adults SEASONAL,US,DTC,2027-02-01,0.143,airtable_bridge_sync
Poncho - Adults SEASONAL,US,DTC,2027-03-01,0.185,airtable_bridge_sync
Poncho - Adults SEASONAL,US,DTC,2027-04-01,0.205,airtable_bridge_sync
Poncho - Adults SEASONAL,US,DTC,2027-05-01,1,airtable_bridge_sync
Poncho - Adults SEASONAL,US,DTC,2027-06-01,0.196,airtable_bridge_sync
Poncho - Adults SEASONAL,US,DTC,2027-12-01,0.2,airtable_bridge_sync
Poncho - Adults SEASONAL,US,FBA,2027-03-01,0.214,airtable_bridge_sync
Poncho - Adults SEASONAL,US,FBA,2027-04-01,0.188,airtable_bridge_sync
Poncho - Adults SEASONAL,US,FBA,2027-05-01,0.193,airtable_bridge_sync
Poncho - Adults SEASONAL,US,FBA,2027-06-01,0.2,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2026-06-01,-0.57,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2026-07-01,367,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2026-08-01,283,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2026-09-01,143,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2026-10-01,48,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2026-11-01,520,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2026-12-01,196,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2027-01-01,65,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2027-02-01,48,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2027-03-01,54,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2027-04-01,71,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2027-05-01,111,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2027-06-01,34,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2027-07-01,724,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2027-08-01,898,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2027-09-01,236,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2027-10-01,211,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2027-11-01,768,airtable_bridge_sync
Poncho - Kids CORE,UK,DTC,2027-12-01,792,airtable_bridge_sync
Poncho - Kids CORE,UK,FBA,2026-06-01,1,airtable_bridge_sync
Poncho - Kids CORE,UK,FBA,2027-06-01,0.5,airtable_bridge_sync
Poncho - Kids CORE,US,DTC,2026-06-01,0.201,airtable_bridge_sync
Poncho - Kids CORE,US,DTC,2026-07-01,0.103,airtable_bridge_sync
Poncho - Kids CORE,US,DTC,2027-04-01,0.402,airtable_bridge_sync
Poncho - Kids CORE,US,DTC,2027-05-01,0.103,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2026-06-01,-0.38,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2026-07-01,-0.38,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2026-08-01,-0.38,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2026-09-01,-0.38,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2026-10-01,-0.38,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2026-11-01,-0.38,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2026-12-01,-0.38,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2027-01-01,-0.37,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2027-02-01,-0.38,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2027-03-01,-0.38,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2027-04-01,-0.38,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2027-05-01,-0.38,airtable_bridge_sync
Poncho - Kids SEASONAL,UK,DTC,2027-06-01,-0.38,airtable_bridge_sync
