Category,Price type,SKU,Supplier,Currency,Real unit price,Price-list price,Diff,Diff %,Typical qty,PO lines
Non Core,MANUAL,GIFTWRAP-BOX-MD,MQ Print,USD,3.88,1.79,2.09,116.6,380,1
Bag - Beach,BAG-BEACH,BAGBCH-MD-NAVY,Weireken,USD,10.97,7.90,3.07,38.9,600,2
Non Core,MANUAL,GIFTWRAP-BOX-LG,MQ Print,USD,4.67,6.88,-2.21,-32.2,594,1
Bag - Beach,BAG-BEACH,BAGBCH-MD-PSTPIER,Weireken,USD,10.97,8.50,2.47,29.1,180,2
Bag - Beach,BAG-BEACH,BAGBCH-MD-RSPROAD,Weireken,USD,10.97,8.50,2.47,29.1,181,1
Bag - Dry XS,BAGDRY-XS,BAGDRY-XS-NAVY,Weireken,USD,2.73,2.12,0.61,28.8,300,10
Bag - Dry XS,BAGDRY-XS,BAGDRY-XS-WYWH,Weireken,USD,2.73,2.12,0.61,28.8,200,11
Bag - Dry XS,BAGDRY-XS,BAGDRY-XS-HOTTROP,Weireken,USD,2.73,2.12,0.61,28.8,200,8
Bag - Dry XS,BAGDRY-XS,BAGDRY-XS-MIAMI,Weireken,USD,2.73,2.12,0.61,28.8,400,6
Bag - Dry XS,BAGDRY-XS,BAGDRY-XS-WAVYBBY,Weireken,USD,2.73,2.12,0.61,28.8,300,6
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-DES-LG-LEMWAV,XR Textile,USD,5.20,4.37,0.83,19.0,80,4
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-DES-LG-MELLOW,XR Textile,USD,5.20,4.37,0.83,19.0,240,27
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-DES-LG-PNKPARA,XR Textile,USD,5.20,4.37,0.83,19.0,160,24
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-DES-LG-PSTPIER,XR Textile,USD,5.20,4.37,0.83,19.0,240,30
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-DES-LG-RSPROAD,XR Textile,USD,5.20,4.37,0.83,19.0,240,27
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-KID-LG-INTOWILD,XR Textile,USD,5.20,4.37,0.83,19.0,80,11
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-KID-LG-KARMCHAM,XR Textile,USD,5.20,4.37,0.83,19.0,120,2
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-KID-LG-TURTROP,XR Textile,USD,5.20,4.37,0.83,19.0,160,2
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-SUM-LG-CSTCANDY,XR Textile,USD,5.20,4.37,0.83,19.0,320,23
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-DES-LG-WTRSUG,XR Textile,USD,5.20,4.37,0.83,19.0,200,22
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-DES-LG-BLUSKY,XR Textile,USD,5.20,4.37,0.83,19.0,200,28
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-DES-LG-GRECSHR,XR Textile,USD,5.20,4.37,0.83,19.0,240,14
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-SUM-LG-MIAMI,XR Textile,USD,5.20,4.37,0.83,19.0,300,27
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-DES-LG-OCETRES,XR Textile,USD,5.20,4.37,0.83,19.0,200,27
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-KID-LG-CHECKOUT,XR Textile,USD,5.20,4.37,0.83,19.0,40,9
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-SUM-LG-COLAGN,XR Textile,USD,5.20,4.37,0.83,19.0,400,20
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-DES-LG-GROOVCH,XR Textile,USD,5.20,4.37,0.83,19.0,40,1
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-DES-LG-TROPTRT,XR Textile,USD,5.20,4.37,0.83,19.0,40,3
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-DES-LG-BLUSPRIT,XR Textile,USD,5.20,4.37,0.83,19.0,80,3
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-DES-LG-FRUTLPS,XR Textile,USD,5.20,4.37,0.83,19.0,80,2
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-KID-LG-BUILDBCH,XR Textile,USD,5.20,4.37,0.83,19.0,40,1
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-DES-LG-CHECKMT,XR Textile,USD,5.20,4.37,0.83,19.0,40,1
Towel - Beach,TOWLB-DESIGNED-LG,TOWLB-DES-LG-VITSEA,XR Textile,USD,5.20,4.37,0.83,19.0,40,1
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-DES-XL-GTTLINES,XR Textile,USD,6.15,5.19,0.96,18.5,30,2
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-DES-XL-PSTPIER,XR Textile,USD,6.15,5.19,0.96,18.5,180,29
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-DES-XL-RSPROAD,XR Textile,USD,6.15,5.19,0.96,18.5,180,29
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-DES-XL-SUNSPL,XR Textile,USD,6.15,5.19,0.96,18.5,120,1
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-SUM-XL-COLAGN,XR Textile,USD,6.15,5.19,0.96,18.5,360,20
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-SUM-XL-MIAMI,XR Textile,USD,6.15,5.19,0.96,18.5,300,19
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-DES-XL-MELLOW,XR Textile,USD,6.15,5.19,0.96,18.5,150,29
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-DES-XL-WTRSUG,XR Textile,USD,6.15,5.19,0.96,18.5,150,20
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-DES-XL-BLUSKY,XR Textile,USD,6.15,5.19,0.96,18.5,210,29
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-DES-XL-PNKPARA,XR Textile,USD,6.15,5.19,0.96,18.5,150,26
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-SUM-XL-CSTCANDY,XR Textile,USD,6.15,5.19,0.96,18.5,300,20
Towel - Beach,TOWLB-DESIGNED-XL,TOWLB-DES-XL-OCETRES,XR Textile,USD,6.15,5.19,0.96,18.5,240,24
