Supplier,SKU,Real unit price,PO lines,Typical qty
Lixin,HAIRW-WAF-BOHMDRM,1.76,17,120
Lixin,HAIRW-WAF-WTRSPRZ,1.76,16,180
Lixin,GIFT-BOX-BEAUTY-BOHMDRM,4.66,14,150
Lixin,GIFT-BOX-BEAUTY-WTRSPRZ,4.66,14,200
Lixin (Jack),HAIRW-WAF-SEASOIR,1.76,14,120
Lixin (Jack),PONCHK-KID-MD-JELLY,4.18,14,30
Lixin (Jack),PONCHK-KID-MD-SKATER,4.18,14,30
Lixin,TOWLH-CLB-LG-MIDNFIZ,5.50,13,60
Lixin (Jack),TOWLH-DES-LG-BOHMDRM,5.50,13,45
Lixin,TOWLH-CLB-SM-MIDNFIZ,2.75,12,50
Lixin,TOWLH-CLB-XL-MIDNFIZ,6.66,12,80
Lixin (Jack),TOWLH-DES-XL-BOHMDRM,6.66,12,55
Lixin (Jack),GIFT-BOX-BEAUTY-SEASOIR,4.66,12,160
XR Textile,GIFT-BOX-BEAUTY-CHRYBMB,4.25,12,400
Lixin,PONCHA-DES-LG-WAVYBBY,6.25,12,40
Lixin,PONCHK-SUM-MD-UNICN-NS,4.18,12,60
Lixin,TOWLH-CLB-LG-WTRSPRZ,5.50,11,60
Lixin,PONCHA-DES-LG-IBZAGLW,6.25,11,40
Lixin,PONCHK-KID-MD-GVCLUB,4.18,11,30
Lixin,PONCHK-KID-SM-GVCLUB,3.81,11,60
Lixin,PONCHK-KID-SM-SKATER,3.81,11,60
Lixin,TOWLH-CLB-SM-WTRSPRZ,2.75,10,50
Lixin,TOWLH-CLB-XL-WTRSPRZ,6.66,10,60
Lixin (Jack),TOWLH-DES-SM-BOHMDRM,2.75,10,50
Lixin,PONCHA-DES-MD-IBZAGLW,5.96,10,40
Lixin,PONCHK-KID-SM-JELLY,3.81,10,60
Lixin,TOWLB-SUM-MD-UNICN,3.47,10,150
XR Textile,PP-TEATWL-MD-3SET-SPRKSHNE,6.16,9,12
Lixin,PONCHA-DES-MD-WAVYBBY,5.96,9,40
Lixin,PONCHA-CAB-XL-NAVY,7.65,8,20
Lixin,PONCHA-SUM-MD-UNICN-NS,5.96,6,20
Lixin,PONCHA-CAB-XL-LTPNK,7.65,4,20
MQ Print,SHIPBAG-LAR,0.30,4,16000
