ITEM_CODE,ITEM_DESCR,SUBTYPE,TYPE,BARCODE,CLIENT_STOCK_CODE,UNIT_PER_BOX,UNIT_PRICE,COST_PRICE
CB-MED-WHITE,White Medium Air Conditioning Cover,,P,0781499149950,,1,499,249.5
CB-MED-CHAR,Charcoal Medium Air Conditioning Cover,,P,0781499149974,,1,499,249.5
CB-LAR-WHITE,White Large Air Conditioning Cover,,P,0781499149967,,1,599,299.5
CB-LAR-CHAR,Charcoal Large Air Conditioning Cover,,P,0781499149981,,1,599,299.5
CB-MD-WHITE,White Medium Air Conditioning Cover v2,,P,0781499149646,,1,150,75
CB-MD-CHAR,Charcoal Medium Air Conditioning Cover v2,,P,0781499149653,,1,150,75
CB-LG-WHITE,White Large Air Conditioning Cover v2,,P,0781499149660,,1,150,75
CB-LG-CHAR,Charcoal Large Air Conditioning Cover v2,,P,0781499149677,,1,250,125
CB-XL-WHITE,White Extra Large Air Conditioning Cover v2,,P,0781499149684,,1,250,125
CB-XL-CHAR,Charcoal Extra Large Air Conditioning Cover v2,,P,0781499149691,,1,250,125
GB-SM-WHITE,White Small Garden Box,,P,0781499149806,,1,350,175
GB-SM-CHAR,Charcoal Small Garden Box,,P,0781499149813,,1,350,175
GB-SM-WOOD,Wood Grain Small Garden Box,,P,0781499149820,,1,350,175
GB-MD-WHITE,White Medium Garden Box,,P,0781499149837,,1,400,200
GB-MD-CHAR,Charcoal Medium Garden Box,,P,0781499149844,,1,400,200
GB-MD-WOOD,Wood Grain Medium Garden Box,,P,0781499149851,,1,400,200
GB-LG-WHITE,White Large Garden Box,,P,0781499149868,,1,400,200
GB-LG-CHAR,Charcoal Large Garden Box,,P,0781499149875,,1,400,200
GB-LG-WOOD,Wood Grain Large Garden Box,,P,0781499149882,,1,400,200
CD-CUSTOM-1,Custom Order 1,,P,0781499149899,,1,400,200
CD-CUSTOM-2,Custom Order 2,,P,0781499149905,,1,400,200
CD-CUSTOM-3,Custom Order 3,,P,0781499149912,,1,400,200
CD-CUSTOM-4,Custom Order 4,,P,0781499149929,,1,400,200
CD-CUSTOM-5,Custom Order 5,,P,0781499149936,,1,400,200
CD-CUSTOM-6,Custom Order 6,,P,0781499149943,,1,400,200
CD-CUSTOM-7,Custom Order 7,,P,0781499149714,,1,400,200
CD-CUSTOM-8,Custom Order 8,,P,0781499149721,,1,400,200
CD-CUSTOM-9,Custom Order 9,,P,0781499149738,,1,400,200
CD-CUSTOM-10,Custom Order 10,,P,0781499149745,,1,400,200
CD-CUSTOM-11,Custom Order 11,,P,0781499149752,,1,400,200
CD-CUSTOM-12,Custom Order 12,,P,0781499149769,,1,400,200
CD-CUSTOM-13,Custom Order 13,,P,0781499149776,,1,400,200
CD-CUSTOM-14,Custom Order 14,,P,0781499149783,,1,400,200
CD-CUSTOM-15,Custom Order 15,,P,0781499149790,,1,400,200
WORMBOX-MD,Worm Box - In Ground Composter,,P,0781499149707,,1,50,25
BB-LG-WHITE,White Large Home Battery Cover,,P,0781499149615,,1,500,500
BB-LG-CHAR,Charcoal Large Home Battery Cover,,P,0781499149622,,1,500,500
BB-XL-WHITE,White Extra Large Home Battery Cover,,P,0781499149639,,1,700,700
BB-XL-CHAR,Charcoal Extra Large Home Battery Cover,,P,0781499149646,,1,700,700
