SKU,cost,cost_lx,cost_xr,size_long
ACTIVE-LAR-BLUE,4.040,4.040,4.040,Extra Large (200x90cm)
ACTIVE-LAR-GREEN,4.040,4.040,4.040,Large (160x80cm)
ACTIVE-LAR-GREY,4.040,4.040,4.040,Large (160x80cm)
ACTIVE-LAR-ORANGE,4.040,4.040,4.040,Large (160x80cm)
ACTIVE-LAR-PINK,4.040,4.040,4.040,Large (160x80cm)
ACTIVE-LAR-RED,4.040,4.040,4.040,Large (160x80cm)
ACTIVE-SML-BLUE,2.410,2.410,2.410,"Small (100x50"") "
ACTIVE-SML-GREEN,2.410,2.410,2.410,"Small (100x50"") "
ACTIVE-SML-GREY,2.410,2.410,2.410,"Small (100x50"") "
ACTIVE-SML-ORANGE,2.410,2.410,2.410,"Small (100x50"") "
ACTIVE-SML-PINK,2.410,2.410,2.410,"Small (100x50"") "
ACTIVE-SML-RED,2.410,2.410,2.410,"Small (100x50"") "
ACTIVE-XLG-BLUE,4.830,4.830,4.830,Extra Large (200x90cm)
ACTIVE-XLG-GREEN,4.830,4.830,4.830,Extra Large (200x90cm)
ACTIVE-XLG-GREY,4.830,4.830,4.830,Extra Large (200x90cm)
ACTIVE-XLG-ORANGE,4.830,4.830,4.830,Extra Large (200x90cm)
ACTIVE-XLG-PINK,4.830,4.830,4.830,Extra Large (200x90cm)
ACTIVE-XLG-RED,4.830,4.830,4.830,Extra Large (200x90cm)
BABIATOR-MD-LTPCH,13.980,13.980,13.980,3 to 5y
BABIATOR-MD-LTPNK,13.980,13.980,13.980,3 to 5y
BABIATOR-MD-NAVY,13.980,13.980,13.980,3 to 5y
BABIATOR-MD-SQUIG,13.980,13.980,13.980,3 to 5y
BABIATOR-SM-LTPCH,13.980,13.980,13.980,0 to 2y
BABIATOR-SM-LTPNK,13.980,13.980,13.980,0 to 2y
BABIATOR-SM-NAVY,13.980,13.980,13.980,0 to 2y
BABIATOR-SM-SQUIG,13.980,13.980,13.980,0 to 2y
BAGBCH-MD-MNTID,9.100,9.100,9.100,One Size
BAGBCH-MD-NAVY,9.100,9.100,9.100,One Size
BAGBCH-MD-OLIVE,9.100,9.100,9.100,One Size
BAGBCH-MD-PSTPIER,9.100,9.100,9.100,One Size
BAGBCH-MD-RSPROAD,9.100,9.100,9.100,One Size
BAGBCH-MD-SUNKISS,9.100,9.100,9.100,One Size
BAGCOOL-MD-APPLTRT,11.550,11.550,11.550,Medium
BAGCOOL-MD-COLCLUB,11.550,11.550,11.550,Medium
BAGCOOL-MD-DKDIS,11.550,11.550,11.550,Medium
BAGCOOL-MD-MOJSPZ,11.550,11.550,11.550,Medium
BAGCOOL-MD-NAVY,11.550,11.550,11.550,Medium
BAGDRY-MD-BLUSKY,9.550,9.550,9.550,Medium
BAGDRY-MD-IBZAGLW,9.550,9.550,9.550,Medium
BAGDRY-MD-MIAMI,9.550,9.550,9.550,Medium
BAGDRY-MD-NAVY,9.550,9.550,9.550,Medium
BAGDRY-MD-PSTPIER,9.550,9.550,9.550,Medium
BAGDRY-MD-WAVYBBY,9.550,9.550,9.550,Medium
BAGDRY-XS-BLKPAR,2.120,2.120,2.120,Small
BAGDRY-XS-BLUSKY,2.120,2.120,2.120,Small
BAGDRY-XS-HOTTROP,2.120,2.120,2.120,Small
BAGDRY-XS-MELLOW,2.120,2.120,2.120,Small
BAGDRY-XS-MIAMI,2.120,2.120,2.120,Small
BAGDRY-XS-NAVY,2.120,2.120,2.120,Small
BAGDRY-XS-PSTPIER,2.120,2.120,2.120,Small
BAGDRY-XS-RSPROAD,2.120,2.120,2.120,Small
BAGDRY-XS-WAVYBBY,2.120,2.120,2.120,Small
BAGDRY-XS-WYWH,2.120,2.120,2.120,Small
BAGF-CAB-MD-LTPNK,2.600,2.600,2.600,Medium (39x19cm)
BAGF-CAB-MD-NAVY,2.600,2.600,2.600,Medium (39x19cm)
BAGF-CAB-MD-POSPIN,2.600,2.600,2.600,Medium (39x19cm)
BAGF-DES-MD-ALF,2.600,2.600,2.600,Medium (39x19cm)
BAGF-DES-MD-BANARAM,2.600,2.600,2.600,Medium (39x19cm)
BAGF-DES-MD-CHECKMT,2.600,2.600,2.600,Medium (39x19cm)
BAGF-DES-MD-GROOVCH,2.600,2.600,2.600,Medium (39x19cm)
BAGF-DES-MD-GYOW,2.600,2.600,2.600,Medium (39x19cm)
BAGF-DES-MD-IBZAGLW,2.600,2.600,2.600,Medium (39x19cm)
BAGF-DES-MD-JNGLBLM,2.600,2.600,2.600,Medium (39x19cm)
BAGF-DES-MD-PALAG,2.600,2.600,2.600,Medium (39x19cm)
BAGF-DES-MD-PKTSUN,2.600,2.600,2.600,Medium (39x19cm)
BAGF-DES-MD-SPRCLUB,2.600,2.600,2.600,Medium (39x19cm)
BAGF-DES-MD-STRIPLIFE,2.600,2.600,2.600,Medium (39x19cm)
BAGF-DES-MD-TOTE,2.600,2.600,2.600,Medium (39x19cm)
BAGF-DES-MD-WAVYBBY,2.600,2.600,2.600,Medium (39x19cm)
BAGF-DES-MD-WTRSUG,2.600,2.600,2.600,Medium (39x19cm)
BAGF-DES-MD-WYWH,2.600,2.600,2.600,Medium (39x19cm)
BAGF-KID-MD-SQUIG,2.600,2.600,2.600,Medium (39x19cm)
BAGF-MD-MARINDRM,2.600,2.600,2.600,Medium (39x19cm)
BAGF-MD-TERATROP,2.600,2.600,2.600,Medium (39x19cm)
BAGF-SGW-MD-GETWAV,2.600,2.600,2.600,Medium (39x19cm)
BAGF-SUM-MD-COLAGN,2.600,2.600,2.600,Medium (39x19cm)
BAGF-SUM-MD-CSTCANDY,2.600,2.600,2.600,Medium (39x19cm)
BAGF-SUM-MD-MIAMI,2.600,2.600,2.600,Medium (39x19cm)
BAGF-SUM-MD-OCEAN,2.600,2.600,2.600,Medium (39x19cm)
BAGF-SUM-MD-TUTFRU,2.600,2.600,2.600,Medium (39x19cm)
BAGF-SUM-MD-UNICN,2.600,2.600,2.600,Medium (39x19cm)
BAGTOI-MD-BOHMDRM,3.820,3.820,3.820,One Size
BAGTOI-MD-CACTMNTN,3.820,3.820,3.820,One Size
BAGTOI-MD-CHRYBMB,3.820,3.820,3.820,One Size
BAGTOI-MD-NAVY,3.820,3.820,3.820,One Size
BAGTOI-MD-PEPPNCH,3.820,3.820,3.820,One Size
BAGTOI-MD-PINK,3.820,3.820,3.820,One Size
BAGTOI-MD-SEASOIR,3.820,3.820,3.820,One Size
BALLAST-CAB-NAVY,7.500,7.500,7.500,One Size
BALLAST-DES-GRECSH,7.500,7.500,7.500,One Size
BALLAST-SUM-BLUSKY,7.500,7.500,7.500,One Size
BALLAST-SUM-CSTCANDY,7.500,7.500,7.500,One Size
BALLAST-SUM-MELLOW,7.500,7.500,7.500,One Size
BALLAST-SUM-MIAMI,7.500,7.500,7.500,One Size
BALLAST-SUM-PSTPIER,7.500,7.500,7.500,One Size
BALLAST-SUM-RSPROAD,7.500,7.500,7.500,One Size
