SKU,uk_rt,MERGE_pricing,cost,inventory_us_nongrs,inventory_uk_nongrs,size_long
ACTIVE-LAR-BLUE,30.00,[TEST-RT]30[TEST-RT-SP][TEST-SHP-PRICE]30[TEST-SHP-COMPARE][US-RT]35[US-RT-SP][US-WS]17.5[US-WS-SP][US-AMZ]34.99[US-AMZ-SP]34.99[US-SHP-PRICE]35[US-SHP-COMPARE][USWS-SHP-PRICE]17.5[USWS-SHP-COMPARE][CA-RT]38[CA-RT-SP]19[CA-WS]17.5[CA-WS-SP][CA-AMZ]37.99[CA-AMZ-SP]37.99[CA-SHP-PRICE]19[CA-SHP-COMPARE]38[CAWS-SHP-PRICE]12.5[CAWS-SHP-COMPARE][UK-RT]30[UK-RT-SP][UK-WS]12.5[UK-WS-SP][UK-AMZ]29.99[UK-AMZ-SP]29.99[UK-SHP-PRICE]30[UK-SHP-COMPARE][UKWS-SHP-PRICE]12.5[UKWS-SHP-COMPARE][AU-RT]55[AU-RT-SP][AU-WS]24.99[AU-WS-SP][AU-AMZ]54.99[AU-AMZ-SP]54.99[AU-SHP-PRICE]55[AU-SHP-COMPARE][EU-RT]30[EU-RT-SP][EU-WS]12.5[EU-WS-SP]17[EU-AMZ]29.99[EU-AMZ-SP]29.99[EU-SHP-PRICE]30[EU-SHP-COMPARE][EUWS-SHP-PRICE]12.5[EUWS-SHP-COMPARE][PL-RT]135[AE-RT]150[AE-RT-SP]120[AE-SHP-PRICE]120[AE-SHP-COMPARE]150[COST]4.04[COST-NEXT]4.04[TAX-UK]TRUE[UK-NEXT]30[UKWS-NEXT]12.5[EU-NEXT]34[EUWS-NEXT]14.166666666666668[US-NEXT]35[USWS-NEXT][AU-NEXT]55[DISCOUNT_FINAL]((AU))0((UK))0((US))0((EU))0((TEST))0(())[],4.040,0,0,Extra Large (200x90cm)
ACTIVE-LAR-GREEN,30.00,[TEST-RT]30[TEST-RT-SP][TEST-SHP-PRICE]30[TEST-SHP-COMPARE][US-RT]35[US-RT-SP][US-WS]17.5[US-WS-SP][US-AMZ]34.99[US-AMZ-SP]34.99[US-SHP-PRICE]35[US-SHP-COMPARE][USWS-SHP-PRICE]17.5[USWS-SHP-COMPARE][CA-RT]38[CA-RT-SP]19[CA-WS]17.5[CA-WS-SP][CA-AMZ]37.99[CA-AMZ-SP]37.99[CA-SHP-PRICE]19[CA-SHP-COMPARE]38[CAWS-SHP-PRICE]12.5[CAWS-SHP-COMPARE][UK-RT]30[UK-RT-SP][UK-WS]12.5[UK-WS-SP][UK-AMZ]29.99[UK-AMZ-SP]29.99[UK-SHP-PRICE]30[UK-SHP-COMPARE][UKWS-SHP-PRICE]12.5[UKWS-SHP-COMPARE][AU-RT]55[AU-RT-SP][AU-WS]24.99[AU-WS-SP][AU-AMZ]54.99[AU-AMZ-SP]54.99[AU-SHP-PRICE]55[AU-SHP-COMPARE][EU-RT]30[EU-RT-SP][EU-WS]12.5[EU-WS-SP]17[EU-AMZ]29.99[EU-AMZ-SP]29.99[EU-SHP-PRICE]30[EU-SHP-COMPARE][EUWS-SHP-PRICE]12.5[EUWS-SHP-COMPARE][PL-RT]135[AE-RT]150[AE-RT-SP]120[AE-SHP-PRICE]120[AE-SHP-COMPARE]150[COST]4.04[COST-NEXT]4.04[TAX-UK]TRUE[UK-NEXT]30[UKWS-NEXT]12.5[EU-NEXT]34[EUWS-NEXT]14.166666666666668[US-NEXT]35[USWS-NEXT][AU-NEXT]55[DISCOUNT_FINAL]((AU))0((UK))0((US))0((EU))0((TEST))0(())[],4.040,0,0,Large (160x80cm)
ACTIVE-LAR-GREY,30.00,[TEST-RT]30[TEST-RT-SP][TEST-SHP-PRICE]30[TEST-SHP-COMPARE][US-RT]35[US-RT-SP][US-WS]17.5[US-WS-SP][US-AMZ]34.99[US-AMZ-SP]34.99[US-SHP-PRICE]35[US-SHP-COMPARE][USWS-SHP-PRICE]17.5[USWS-SHP-COMPARE][CA-RT]38[CA-RT-SP]19[CA-WS]17.5[CA-WS-SP][CA-AMZ]37.99[CA-AMZ-SP]37.99[CA-SHP-PRICE]19[CA-SHP-COMPARE]38[CAWS-SHP-PRICE]12.5[CAWS-SHP-COMPARE][UK-RT]30[UK-RT-SP][UK-WS]12.5[UK-WS-SP][UK-AMZ]29.99[UK-AMZ-SP]29.99[UK-SHP-PRICE]30[UK-SHP-COMPARE][UKWS-SHP-PRICE]12.5[UKWS-SHP-COMPARE][AU-RT]55[AU-RT-SP][AU-WS]24.99[AU-WS-SP][AU-AMZ]54.99[AU-AMZ-SP]54.99[AU-SHP-PRICE]55[AU-SHP-COMPARE][EU-RT]30[EU-RT-SP][EU-WS]12.5[EU-WS-SP]17[EU-AMZ]29.99[EU-AMZ-SP]29.99[EU-SHP-PRICE]30[EU-SHP-COMPARE][EUWS-SHP-PRICE]12.5[EUWS-SHP-COMPARE][PL-RT]135[AE-RT]150[AE-RT-SP]120[AE-SHP-PRICE]120[AE-SHP-COMPARE]150[COST]4.04[COST-NEXT]4.04[TAX-UK]TRUE[UK-NEXT]30[UKWS-NEXT]12.5[EU-NEXT]34[EUWS-NEXT]14.166666666666668[US-NEXT]35[USWS-NEXT][AU-NEXT]55[DISCOUNT_FINAL]((AU))0((UK))0((US))0((EU))0((TEST))0(())[],4.040,0,0,Large (160x80cm)
ACTIVE-LAR-ORANGE,30.00,[TEST-RT]30[TEST-RT-SP][TEST-SHP-PRICE]30[TEST-SHP-COMPARE][US-RT]35[US-RT-SP][US-WS]17.5[US-WS-SP][US-AMZ]34.99[US-AMZ-SP]34.99[US-SHP-PRICE]35[US-SHP-COMPARE][USWS-SHP-PRICE]17.5[USWS-SHP-COMPARE][CA-RT]38[CA-RT-SP]19[CA-WS]17.5[CA-WS-SP][CA-AMZ]37.99[CA-AMZ-SP]37.99[CA-SHP-PRICE]19[CA-SHP-COMPARE]38[CAWS-SHP-PRICE]12.5[CAWS-SHP-COMPARE][UK-RT]30[UK-RT-SP][UK-WS]12.5[UK-WS-SP][UK-AMZ]29.99[UK-AMZ-SP]29.99[UK-SHP-PRICE]30[UK-SHP-COMPARE][UKWS-SHP-PRICE]12.5[UKWS-SHP-COMPARE][AU-RT]55[AU-RT-SP][AU-WS]24.99[AU-WS-SP][AU-AMZ]54.99[AU-AMZ-SP]54.99[AU-SHP-PRICE]55[AU-SHP-COMPARE][EU-RT]30[EU-RT-SP][EU-WS]12.5[EU-WS-SP]17[EU-AMZ]29.99[EU-AMZ-SP]29.99[EU-SHP-PRICE]30[EU-SHP-COMPARE][EUWS-SHP-PRICE]12.5[EUWS-SHP-COMPARE][PL-RT]135[AE-RT]150[AE-RT-SP]120[AE-SHP-PRICE]120[AE-SHP-COMPARE]150[COST]4.04[COST-NEXT]4.04[TAX-UK]TRUE[UK-NEXT]30[UKWS-NEXT]12.5[EU-NEXT]34[EUWS-NEXT]14.166666666666668[US-NEXT]35[USWS-NEXT][AU-NEXT]55[DISCOUNT_FINAL]((AU))0((UK))0((US))0((EU))0((TEST))0(())[],4.040,0,0,Large (160x80cm)
ACTIVE-LAR-PINK,30.00,[TEST-RT]30[TEST-RT-SP][TEST-SHP-PRICE]30[TEST-SHP-COMPARE][US-RT]35[US-RT-SP][US-WS]17.5[US-WS-SP][US-AMZ]34.99[US-AMZ-SP]34.99[US-SHP-PRICE]35[US-SHP-COMPARE][USWS-SHP-PRICE]17.5[USWS-SHP-COMPARE][CA-RT]38[CA-RT-SP]19[CA-WS]17.5[CA-WS-SP][CA-AMZ]37.99[CA-AMZ-SP]37.99[CA-SHP-PRICE]19[CA-SHP-COMPARE]38[CAWS-SHP-PRICE]12.5[CAWS-SHP-COMPARE][UK-RT]30[UK-RT-SP][UK-WS]12.5[UK-WS-SP][UK-AMZ]29.99[UK-AMZ-SP]29.99[UK-SHP-PRICE]30[UK-SHP-COMPARE][UKWS-SHP-PRICE]12.5[UKWS-SHP-COMPARE][AU-RT]55[AU-RT-SP][AU-WS]24.99[AU-WS-SP][AU-AMZ]54.99[AU-AMZ-SP]54.99[AU-SHP-PRICE]55[AU-SHP-COMPARE][EU-RT]30[EU-RT-SP][EU-WS]12.5[EU-WS-SP]17[EU-AMZ]29.99[EU-AMZ-SP]29.99[EU-SHP-PRICE]30[EU-SHP-COMPARE][EUWS-SHP-PRICE]12.5[EUWS-SHP-COMPARE][PL-RT]135[AE-RT]150[AE-RT-SP]120[AE-SHP-PRICE]120[AE-SHP-COMPARE]150[COST]4.04[COST-NEXT]4.04[TAX-UK]TRUE[UK-NEXT]30[UKWS-NEXT]12.5[EU-NEXT]34[EUWS-NEXT]14.166666666666668[US-NEXT]35[USWS-NEXT][AU-NEXT]55[DISCOUNT_FINAL]((AU))0((UK))0((US))0((EU))0((TEST))0(())[],4.040,0,0,Large (160x80cm)
ACTIVE-LAR-RED,30.00,[TEST-RT]30[TEST-RT-SP][TEST-SHP-PRICE]30[TEST-SHP-COMPARE][US-RT]35[US-RT-SP][US-WS]17.5[US-WS-SP][US-AMZ]34.99[US-AMZ-SP]34.99[US-SHP-PRICE]35[US-SHP-COMPARE][USWS-SHP-PRICE]17.5[USWS-SHP-COMPARE][CA-RT]38[CA-RT-SP]19[CA-WS]17.5[CA-WS-SP][CA-AMZ]37.99[CA-AMZ-SP]37.99[CA-SHP-PRICE]19[CA-SHP-COMPARE]38[CAWS-SHP-PRICE]12.5[CAWS-SHP-COMPARE][UK-RT]30[UK-RT-SP][UK-WS]12.5[UK-WS-SP][UK-AMZ]29.99[UK-AMZ-SP]29.99[UK-SHP-PRICE]30[UK-SHP-COMPARE][UKWS-SHP-PRICE]12.5[UKWS-SHP-COMPARE][AU-RT]55[AU-RT-SP][AU-WS]24.99[AU-WS-SP][AU-AMZ]54.99[AU-AMZ-SP]54.99[AU-SHP-PRICE]55[AU-SHP-COMPARE][EU-RT]30[EU-RT-SP][EU-WS]12.5[EU-WS-SP]17[EU-AMZ]29.99[EU-AMZ-SP]29.99[EU-SHP-PRICE]30[EU-SHP-COMPARE][EUWS-SHP-PRICE]12.5[EUWS-SHP-COMPARE][PL-RT]135[AE-RT]150[AE-RT-SP]120[AE-SHP-PRICE]120[AE-SHP-COMPARE]150[COST]4.04[COST-NEXT]4.04[TAX-UK]TRUE[UK-NEXT]30[UKWS-NEXT]12.5[EU-NEXT]34[EUWS-NEXT]14.166666666666668[US-NEXT]35[USWS-NEXT][AU-NEXT]55[DISCOUNT_FINAL]((AU))0((UK))0((US))0((EU))0((TEST))0(())[],4.040,0,0,Large (160x80cm)
ACTIVE-SML-BLUE,18.00,[TEST-RT]18[TEST-RT-SP][TEST-SHP-PRICE]18[TEST-SHP-COMPARE][US-RT]25[US-RT-SP][US-WS]12.5[US-WS-SP][US-AMZ]24.99[US-AMZ-SP]24.99[US-SHP-PRICE]25[US-SHP-COMPARE][USWS-SHP-PRICE]12.5[USWS-SHP-COMPARE][CA-RT]24[CA-RT-SP]12[CA-WS]12.5[CA-WS-SP][CA-AMZ]23.99[CA-AMZ-SP]23.99[CA-SHP-PRICE]12[CA-SHP-COMPARE]24[CAWS-SHP-PRICE]7.5[CAWS-SHP-COMPARE][UK-RT]18[UK-RT-SP][UK-WS]7.5[UK-WS-SP][UK-AMZ]17.99[UK-AMZ-SP]17.99[UK-SHP-PRICE]18[UK-SHP-COMPARE][UKWS-SHP-PRICE]7.5[UKWS-SHP-COMPARE][AU-RT]30[AU-RT-SP][AU-WS]13.63[AU-WS-SP][AU-AMZ]29.99[AU-AMZ-SP]29.99[AU-SHP-PRICE]30[AU-SHP-COMPARE][EU-RT]18[EU-RT-SP][EU-WS]7.5[EU-WS-SP]10[EU-AMZ]17.99[EU-AMZ-SP]17.99[EU-SHP-PRICE]18[EU-SHP-COMPARE][EUWS-SHP-PRICE]7.5[EUWS-SHP-COMPARE][PL-RT]81[AE-RT][AE-RT-SP]0[AE-SHP-PRICE][AE-SHP-COMPARE][COST]2.41[COST-NEXT]2.41[TAX-UK]TRUE[UK-NEXT]18[UKWS-NEXT]7.5[EU-NEXT]20[EUWS-NEXT]8.333333333333334[US-NEXT]25[USWS-NEXT][AU-NEXT]30[DISCOUNT_FINAL]((AU))0((UK))0((US))0((EU))0((TEST))0(())[],2.410,0,0,"Small (100x50"") "
ACTIVE-SML-GREEN,18.00,[TEST-RT]18[TEST-RT-SP][TEST-SHP-PRICE]18[TEST-SHP-COMPARE][US-RT]25[US-RT-SP][US-WS]12.5[US-WS-SP][US-AMZ]24.99[US-AMZ-SP]24.99[US-SHP-PRICE]25[US-SHP-COMPARE][USWS-SHP-PRICE]12.5[USWS-SHP-COMPARE][CA-RT]24[CA-RT-SP]12[CA-WS]12.5[CA-WS-SP][CA-AMZ]23.99[CA-AMZ-SP]23.99[CA-SHP-PRICE]12[CA-SHP-COMPARE]24[CAWS-SHP-PRICE]7.5[CAWS-SHP-COMPARE][UK-RT]18[UK-RT-SP][UK-WS]7.5[UK-WS-SP][UK-AMZ]17.99[UK-AMZ-SP]17.99[UK-SHP-PRICE]18[UK-SHP-COMPARE][UKWS-SHP-PRICE]7.5[UKWS-SHP-COMPARE][AU-RT]30[AU-RT-SP][AU-WS]13.63[AU-WS-SP][AU-AMZ]29.99[AU-AMZ-SP]29.99[AU-SHP-PRICE]30[AU-SHP-COMPARE][EU-RT]18[EU-RT-SP][EU-WS]7.5[EU-WS-SP]10[EU-AMZ]17.99[EU-AMZ-SP]17.99[EU-SHP-PRICE]18[EU-SHP-COMPARE][EUWS-SHP-PRICE]7.5[EUWS-SHP-COMPARE][PL-RT]81[AE-RT][AE-RT-SP]0[AE-SHP-PRICE][AE-SHP-COMPARE][COST]2.41[COST-NEXT]2.41[TAX-UK]TRUE[UK-NEXT]18[UKWS-NEXT]7.5[EU-NEXT]20[EUWS-NEXT]8.333333333333334[US-NEXT]25[USWS-NEXT][AU-NEXT]30[DISCOUNT_FINAL]((AU))0((UK))0((US))0((EU))0((TEST))0(())[],2.410,0,0,"Small (100x50"") "
ACTIVE-SML-GREY,18.00,[TEST-RT]18[TEST-RT-SP][TEST-SHP-PRICE]18[TEST-SHP-COMPARE][US-RT]25[US-RT-SP][US-WS]12.5[US-WS-SP][US-AMZ]24.99[US-AMZ-SP]24.99[US-SHP-PRICE]25[US-SHP-COMPARE][USWS-SHP-PRICE]12.5[USWS-SHP-COMPARE][CA-RT]24[CA-RT-SP]12[CA-WS]12.5[CA-WS-SP][CA-AMZ]23.99[CA-AMZ-SP]23.99[CA-SHP-PRICE]12[CA-SHP-COMPARE]24[CAWS-SHP-PRICE]7.5[CAWS-SHP-COMPARE][UK-RT]18[UK-RT-SP][UK-WS]7.5[UK-WS-SP][UK-AMZ]17.99[UK-AMZ-SP]17.99[UK-SHP-PRICE]18[UK-SHP-COMPARE][UKWS-SHP-PRICE]7.5[UKWS-SHP-COMPARE][AU-RT]30[AU-RT-SP][AU-WS]13.63[AU-WS-SP][AU-AMZ]29.99[AU-AMZ-SP]29.99[AU-SHP-PRICE]30[AU-SHP-COMPARE][EU-RT]18[EU-RT-SP][EU-WS]7.5[EU-WS-SP]10[EU-AMZ]17.99[EU-AMZ-SP]17.99[EU-SHP-PRICE]18[EU-SHP-COMPARE][EUWS-SHP-PRICE]7.5[EUWS-SHP-COMPARE][PL-RT]81[AE-RT][AE-RT-SP]0[AE-SHP-PRICE][AE-SHP-COMPARE][COST]2.41[COST-NEXT]2.41[TAX-UK]TRUE[UK-NEXT]18[UKWS-NEXT]7.5[EU-NEXT]20[EUWS-NEXT]8.333333333333334[US-NEXT]25[USWS-NEXT][AU-NEXT]30[DISCOUNT_FINAL]((AU))0((UK))0((US))0((EU))0((TEST))0(())[],2.410,0,0,"Small (100x50"") "
ACTIVE-SML-ORANGE,18.00,[TEST-RT]18[TEST-RT-SP]14.4[TEST-SHP-PRICE]14.4[TEST-SHP-COMPARE]18[US-RT]25[US-RT-SP]20[US-WS]12.5[US-WS-SP]11.25[US-AMZ]24.99[US-AMZ-SP]19.99[US-SHP-PRICE]20[US-SHP-COMPARE]25[USWS-SHP-PRICE]11.25[USWS-SHP-COMPARE]12.5[CA-RT]24[CA-RT-SP]12[CA-WS]12.5[CA-WS-SP]6.75[CA-AMZ]23.99[CA-AMZ-SP]11.99[CA-SHP-PRICE]12[CA-SHP-COMPARE]24[CAWS-SHP-PRICE]6.75[CAWS-SHP-COMPARE]7.5[UK-RT]18[UK-RT-SP]14.4[UK-WS]7.5[UK-WS-SP]6.75[UK-AMZ]17.99[UK-AMZ-SP]14.4[UK-SHP-PRICE]14.4[UK-SHP-COMPARE]18[UKWS-SHP-PRICE]6.75[UKWS-SHP-COMPARE]7.5[AU-RT]30[AU-RT-SP]24[AU-WS]13.63[AU-WS-SP]10.9[AU-AMZ]29.99[AU-AMZ-SP]23.99[AU-SHP-PRICE]24[AU-SHP-COMPARE]30[EU-RT]18[EU-RT-SP]14.4[EU-WS]7.5[EU-WS-SP]6.75[EU-AMZ]17.99[EU-AMZ-SP]14.4[EU-SHP-PRICE]14.4[EU-SHP-COMPARE]18[EUWS-SHP-PRICE]6.75[EUWS-SHP-COMPARE]7.5[PL-RT]81[AE-RT][AE-RT-SP]0[AE-SHP-PRICE][AE-SHP-COMPARE][COST]2.41[COST-NEXT]2.41[TAX-UK]TRUE[UK-NEXT]18[UKWS-NEXT]7.5[EU-NEXT]20[EUWS-NEXT]8.333333333333334[US-NEXT]25[USWS-NEXT][AU-NEXT]30[DISCOUNT_FINAL]((AU))0.2((UK))0.2((US))0.2((EU))0.2((TEST))0.2(())[],2.410,0,0,"Small (100x50"") "
