SKU,Country Category,MonthsStock,FC-M1,FC-M2,FC-M3,FC-M4,FC-M5,FC-M6,FC-M7,FC-M8,FC-M9,FC-M10,FC-M11,FC-M12,P-M1,P-M2,P-M3,P-M4,P-M5,P-M6,P-M7,P-M8,P-M9,P-M10,P-M11,P-M12,G-M1,G-M2,G-M3,G-M4,G-M5,G-M6,G-M7,G-M8,G-M9,G-M10,G-M11,G-M12,FBA-M1,FBA-M2,FBA-M3,FBA-M4,FBA-M5,FBA-M6,FBA-M7,FBA-M8,FBA-M9,FBA-M10,FBA-M11,FBA-M12,B2B-M1,B2B-M2,B2B-M3,B2B-M4,B2B-M5,B2B-M6,B2B-M7,B2B-M8,B2B-M9,B2B-M10,B2B-M11,B2B-M12
SKU Header,Country Category,MonthsStock,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27,01-Jun-26,01-Jul-26,01-Aug-26,01-Sep-26,01-Oct-26,01-Nov-26,01-Dec-26,01-Jan-27,01-Feb-27,01-Mar-27,01-Apr-27,01-May-27
BAGBCH-MD-NAVY,UK ILGBag - Beach,12,120,100,50,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,72,66,60,174,192,186,180,174,166,165,159,153,10,25,0,0,0,0,0,0,0,0,0,0,15,4,13,6,6,6,6,8,1,6,6,6
BAGBCH-MD-OLIVE,UK ILGBag - Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
BAGBCH-MD-PSTPIER,UK ILGBag - Beach,12,100,100,0,0,0,0,0,0,7,23,17,28,,,,,,,,,,,,,425,415,405,395,425,415,405,395,385,368,333,312,25,25,0,10,10,10,10,10,10,10,4,15,13,13,13,0,0,0,0,0,0,2,0,0
BAGBCH-MD-RSPROAD,UK ILGBag - Beach,11,100,100,0,0,0,0,0,0,3,31,28,41,,,,,,,,,,,,,167,156,145,134,167,156,145,134,123,109,73,40,25,25,0,11,11,11,11,11,11,3,5,25,43,13,13,0,0,0,0,0,0,2,0,0
BAGCOOL-MD-APPLTRT,UK ILGBag - Cooling,12,78,78,0,0,0,0,0,0,0,9,33,61,,,,,,,,,,,,,347,341,341,341,341,341,341,341,341,341,328,291,6,6,6,6,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,4,4,8
BAGCOOL-MD-COLCLUB,UK ILGBag - Cooling,12,55,55,0,0,0,0,0,0,1,6,25,49,,,,,,,,,,,,,435,430,430,430,430,430,430,430,430,429,419,390,5,5,5,5,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,4,4,0
BAGCOOL-MD-NAVY,UK ILGBag - Cooling,6,120,121,59,13,6,22,18,6,2,16,47,87,,120,,120,,240,,300,,60,,100,114,74,49,8,-49,-89,-105,-109,-109,-104,-232,-132,4,4,16,12,4,4,24,2,6,4,9,4,4,15,80,15,15,15,15,32,8,38,10,24
BAGDRY-MD-IBZAGLW,UK ILGBag - Dry,5,70,70,28,14,40,180,80,40,4,20,0,0,,,,,,,,,,,,,304,242,31,-71,304,242,31,0,0,0,0,0,24,24,6,3,6,15,6,8,8,15,2,4,4,5,5,30,16,16,16,16,5,4,33,2
BAGDRY-MD-MIAMI,UK ILGBag - Dry,0,70,70,28,14,40,180,80,40,7,111,0,0,,,,,,,,,,,,,-456,-344,-321,253,601,545,349,253,197,181,27,17,24,24,6,11,0,0,0,0,0,0,0,0,74,125,5,5,16,16,16,16,9,43,10,47
