output_sku,input_sku,input_quantity
BUNDLE-BEACH-KIT-TOWLB-SUM-X2-UNICN-LG-SETA,BAGF-SUM-MD-UNICN,1
BUNDLE-BEACH-KIT-TOWLB-SUM-X2-UNICN-LG-SETA,PICNIC-SUM-LG-UNICN,1
BUNDLE-BEACH-KIT-TOWLB-SUM-X2-UNICN-LG-SETA,TOWLB-SUM-LG-UNICN-R,2
BUNDLE-BEACH-KIT-TOWLB-SUM-X2-UNICN-XL-SETA,BAGF-SUM-MD-UNICN,1
BUNDLE-BEACH-KIT-TOWLB-SUM-X2-UNICN-XL-SETA,PICNIC-SUM-LG-UNICN,1
BUNDLE-BEACH-KIT-TOWLB-SUM-X2-UNICN-XL-SETA,TOWLB-SUM-XL-UNICN-R,2
BUNDLE-BEACH-OCNWAVS,BAGDRY-XS-WAVYBBY,6
BUNDLE-BEACH-OCNWAVS,BAGF-DES-MD-WAVYBBY,6
BUNDLE-BEACH-OCNWAVS,PICNIC-DES-LG-GRCSHR,4
BUNDLE-BEACH-OCNWAVS,TOWLB-DES-LG-GRECSHR,6
BUNDLE-BEACH-OCNWAVS,TOWLB-DES-LG-OCETRES,6
BUNDLE-MIXMATCH-LG-2SET-BLUSKY,BAGDRY-XS-BLUSKY,1
BUNDLE-MIXMATCH-LG-2SET-BLUSKY,TOWLB-DES-LG-BLUSKY,1
BUNDLE-MIXMATCH-LG-2SET-MELLOW,BAGDRY-XS-MELLOW,1
BUNDLE-MIXMATCH-LG-2SET-MELLOW,TOWLB-DES-LG-MELLOW,1
BUNDLE-MIXMATCH-LG-2SET-PSTPIER,BAGDRY-XS-PSTPIER,1
BUNDLE-MIXMATCH-LG-2SET-PSTPIER,TOWLB-DES-LG-PSTPIER,1
BUNDLE-MIXMATCH-LG-2SET-RSPROAD,BAGDRY-XS-RSPROAD,1
BUNDLE-MIXMATCH-LG-2SET-RSPROAD,TOWLB-DES-LG-RSPROAD,1
BUNDLE-MIXMATCH-LG-3SET-DKDIS,BAGCOOL-MD-DKDIS,1
BUNDLE-MIXMATCH-LG-3SET-DKDIS,PICNIC-DES-LG-DKDIS,1
BUNDLE-MIXMATCH-LG-3SET-DKDIS,TOWLB-SUM-LG-DKDIS,1
BUNDLE-MIXMATCH-LG-3SET-PALAG,BAGF-DES-MD-PALAG,1
BUNDLE-MIXMATCH-LG-3SET-PALAG,HAIRW-SUE-PALAG,1
BUNDLE-MIXMATCH-LG-3SET-PALAG,TOWLB-DES-LG-PALAG,1
BUNDLE-MIXMATCH-LG-3SET-SEASOIR,BAGTOI-MD-SEASOIR,1
