*Narration,*Date,Description,*AccountCode,*TaxRate,*Amount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2
3PL AU 2026-04 reclass to 2026-03,31/03/2026,Reclass 2026-03 orders out of 2026-04 (Shopify ex-GST),427,BAS Excluded,1499.79,,,,
3PL AU 2026-04 reclass to 2026-03,30/04/2026,Reclass 2026-03 orders out of 2026-04 (Shopify ex-GST),427,BAS Excluded,-1499.79,,,,
3PL AU 2026-04 reclass to 2026-03,31/03/2026,Reclass 2026-03 orders out of 2026-04 (Amazon ex-GST),427.1,BAS Excluded,72.63,,,,
3PL AU 2026-04 reclass to 2026-03,30/04/2026,Reclass 2026-03 orders out of 2026-04 (Amazon ex-GST),427.1,BAS Excluded,-72.63,,,,
3PL AU 2026-05 reclass to 2026-04,30/04/2026,Reclass 2026-04 orders out of 2026-05 (Shopify ex-GST),427,BAS Excluded,2127.07,,,,
3PL AU 2026-05 reclass to 2026-04,31/05/2026,Reclass 2026-04 orders out of 2026-05 (Shopify ex-GST),427,BAS Excluded,-2127.07,,,,
3PL AU 2026-05 reclass to 2026-04,30/04/2026,Reclass 2026-04 orders out of 2026-05 (Amazon ex-GST),427.1,BAS Excluded,53.37,,,,
3PL AU 2026-05 reclass to 2026-04,31/05/2026,Reclass 2026-04 orders out of 2026-05 (Amazon ex-GST),427.1,BAS Excluded,-53.37,,,,
3PL AU 2026-09 reclass to 2026-08,31/08/2026,Reclass 2026-08 orders out of 2026-09 (Shopify ex-GST),427,BAS Excluded,1359.51,,,,
3PL AU 2026-09 reclass to 2026-08,30/09/2026,Reclass 2026-08 orders out of 2026-09 (Shopify ex-GST),427,BAS Excluded,-1359.51,,,,
3PL AU 2026-09 reclass to 2026-08,31/08/2026,Reclass 2026-08 orders out of 2026-09 (Amazon ex-GST),427.1,BAS Excluded,75.63,,,,
3PL AU 2026-09 reclass to 2026-08,30/09/2026,Reclass 2026-08 orders out of 2026-09 (Amazon ex-GST),427.1,BAS Excluded,-75.63,,,,
