Created,Cin7 Status,Stage,Ref,Cust PONo,Total Incl,Inv No,Invoice,Company,Customer,Dispatched,Items,Project Name,Channel,ETD,Branch,EDI Status,3PL Status
16 Apr 2026 10:52 PM,<font color=red>Dispatched</font>,Dispatched,SLUN28202-1-VABEACH,97928,234.88,1621692,"<font color=#7e57c2>Paid:$318.80</font>",South Lunar Under," ",5 May 2026 7:00 AM,20,Shopify USWS,Backend,5 May 2026 7:00 AM,US Geneva,0,10
16 Apr 2026 10:50 PM,<font color=red>Dispatched</font>,Dispatched,SLUN28202-1-BOCA,97926,180.06,1621642,"<font color=#7e57c2>Paid:$244.40</font>",South Lunar Under," ",5 May 2026 7:00 AM,15,Shopify USWS,Backend,5 May 2026 7:00 AM,US Geneva,0,10
16 Apr 2026 10:48 PM,<font color=red>Dispatched</font>,Dispatched,SLUN28202-1-OLAS,97926,234.88,1621643,"<font color=#7e57c2>Paid:$318.80</font>",South Lunar Under," ",5 May 2026 7:00 AM,20,Shopify USWS,Backend,5 May 2026 7:00 AM,US Geneva,0,10
16 Apr 2026 10:45 PM,<font color=red>Dispatched</font>,Dispatched,SLUN28202-1-PALM,97925,180.06,1621645,"<font color=#7e57c2>Paid:$244.40</font>",South Lunar Under," ",5 May 2026 7:00 AM,15,Shopify USWS,Backend,5 May 2026 7:00 AM,US Geneva,0,10
16 Apr 2026 10:43 PM,<font color=red>Dispatched</font>,Dispatched,SLUN28202-1-KING,97924,234.88,1621722,"<font color=#7e57c2>Paid:$318.80</font>",South Lunar Under," ",5 May 2026 7:00 AM,20,Shopify USWS,Backend,5 May 2026 7:00 AM,US Geneva,0,10
16 Apr 2026 10:41 PM,<font color=red>Dispatched</font>,Dispatched,SLUN28202-1-GROVE,97923,234.88,1621644,"<font color=#7e57c2>Paid:$318.80</font>",South Lunar Under," ",5 May 2026 7:00 AM,20,Shopify USWS,Backend,5 May 2026 7:00 AM,US Geneva,0,10
16 Apr 2026 10:39 PM,<font color=red>Dispatched</font>,Dispatched,SLUN28202-1-WESTPORT,97922,180.06,1621675,"<font color=#7e57c2>Paid:$244.40</font>",South Lunar Under," ",5 May 2026 7:00 AM,15,Shopify USWS,Backend,5 May 2026 7:00 AM,US Geneva,0,10
16 Apr 2026 10:37 PM,<font color=red>Dispatched</font>,Dispatched,SLUN28202-1-CLARENDON,97921,234.88,1621641,"<font color=#7e57c2>Paid:$318.80</font>",South Lunar Under," ",5 May 2026 7:00 AM,20,Shopify USWS,Backend,5 May 2026 7:00 AM,US Geneva,0,10
16 Apr 2026 10:35 PM,<font color=red>Dispatched</font>,Dispatched,SLUN28202-1-SP,97920,125.25,1621640,"<font color=#7e57c2>Paid:$170.00</font>",South Lunar Under," ",5 May 2026 7:00 AM,10,Shopify USWS,Backend,5 May 2026 7:00 AM,US Geneva,0,10
16 Apr 2026 10:33 PM,<font color=red>Dispatched</font>,Dispatched,SLUN28202-1-RESTON,97919,125.25,1621639,"<font color=#7e57c2>Paid:$170.00</font>",South Lunar Under," ",5 May 2026 7:00 AM,10,Shopify USWS,Backend,5 May 2026 7:00 AM,US Geneva,0,10
16 Apr 2026 10:31 PM,<font color=red>Dispatched</font>,Dispatched,SLUN28202-1-BETHESDA,97918,125.25,1621626,"<font color=#7e57c2>Paid:$170.00</font>",South Lunar Under," ",5 May 2026 7:00 AM,10,Shopify USWS,Backend,5 May 2026 7:00 AM,US Geneva,0,10
16 Apr 2026 10:29 PM,<font color=red>Dispatched</font>,Dispatched,SLUN28202-1-ANNAPOLIS,97917,234.88,1621638,"<font color=#7e57c2>Paid:$318.80</font>",South Lunar Under," ",5 May 2026 7:00 AM,20,Shopify USWS,Backend,5 May 2026 7:00 AM,US Geneva,0,10
16 Apr 2026 10:26 PM,<font color=red>Dispatched</font>,Dispatched,SLUN28202-1-REHOBOTH,97916,884.70,1621719,"<font color=#7e57c2>Paid:$1200.80</font>",South Lunar Under," ",5 May 2026 7:00 AM,75,Shopify USWS,Backend,5 May 2026 7:00 AM,US Geneva,0,10
16 Apr 2026 10:23 PM,<font color=red>Dispatched</font>,Dispatched,SLUN28202-1-TOWSON,97915,234.88,1621723,"<font color=#7e57c2>Paid:$318.80</font>",South Lunar Under," ",5 May 2026 7:00 AM,20,Shopify USWS,Backend,5 May 2026 7:00 AM,US Geneva,0,10
