PO,Supplier,Status,progress,ship_status,Start date,End date,prod_end_src,Ship date,ship_src,Delivery date,delivery_src,Completion date,delivery_master_po,end_override,ship_override,delivery_override,is_master,flexport_reference,flex_id,Value (est),value_from_lines,final_invoice,is_final,Value,start_pct,completion_pct,balance_pct,start_dep,completion,balance_owing,credit_amount,start_calc,start_assigned,Deposit paid date,completion_calc,completion_assigned,Completion payment date,balance_1_amount,balance_1_date,balance_2_amount,balance_2_date,catch_up,deposit_avail,deposit_fx,notes,start_due,completion_due,balance_due,final_payment_due,credit_days,credit_type,Deposit ref,shipment,ship_mode,ship_carrier,ship_carrier_ref,client,client_requirements,sales_order_ref,client_po_ref,client_deadline,asn_numbers,supplier_confirmed,supplier_confirmed_by,approved_lines,dispatch_order_ref,final_delivery_address,crossdock_skus,dtc_custom,dtc_key_account,forwarder_name,forwarder_email,forwarder_phone,pack_polybags,pack_polybags_notes,pack_dnb_barcodes,pack_dnb_barcodes_notes,pack_rfid_barcodes,pack_rfid_barcodes_notes,pack_dnb_carton,pack_dnb_carton_notes,pack_client_carton,pack_client_carton_notes,pack_pallet_notes,pack_other_notes,dtc_accepted_at,dtc_accepted_by,Ship to,country_src,country_override,Branch,erp,Production #,Batch,require_confirmation,starred,erp_pending,erp_in,erp_total,erp_final_delivery,erp_po_id,erp_present,erp_date_pending,production_status,prod_confirmed_age,is_late,unassigned_shipment,payment_overdue,is_production,Pallets,likely_start,likely_completion,likely_balance_1,likely_balance_2,sup_invoice_pending,sup_completion_pending,unread_notes,orderplan_unconfirmed,container_size,est_freight,freight_src,flex_quote,sea_tiers,est_duty,est_tax,tax_pct,landed_total
PO-1579063,XR Textile,PRODUCTION,in_progress,Planned,2025-12-08,2026-07-10,M,2026-07-17,calc,2026-11-06,S,2026-11-06,,2026-07-10,,2026-09-03,false,,,0.00,false,,false,0.00,0,0,100,44.00,,,0.00,0.00,44.00,2026-06-20,0,,,,,,,0.00,,,The Paper Store Sample,,,2026-07-17,,60,on_clearance,,PO-1579065,,,,,,,,,,,,,,,,false,false,,,,true,,false,,false,,false,,false,,,,,,AU,branch,,AU Coghlans,,54,53.0825,false,false,0,0,0,2026-12-01,FF-10001,true,1,,,false,false,false,true,,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",0.00,0.00,10,0.00
PO-1631902,XR Textile,PRODUCTION,in_progress,Completed,2026-03-01,2026-04-25,M,2026-04-10,S,2026-04-10,S,2026-04-17,PO-1621139,2026-04-25,,2026-04-06,false,FOB,,7559.300,true,,false,7559.30,30.00,20.00,50.00,2267.79,1511.86,3779.65,0.00,2267.79,,,1511.86,,,,,,,0.00,,,Welcome baby  Sample Order,2026-03-01,2026-04-25,2026-07-01,,60,on_clearance,,PO-1621139,fob,,FOB,New account,"requiremenst solhgfsdlkn fsd
fsfgd vsdf
sd fgjhngfkdfjhgdfg",,,,,,,,,"to the address
london asecaersdf
+345345 sdigfo jodjg",,true,true,,,,false,polyags a no,false,db barcodes now,true,rfid yse,true,,true,wewer note cartons,pallet packing required,other packing labelling reioasief,,,DIRECT,branch,,Direct to Client,,54,54.1125,false,true,20,0,20,,,false,0,,,true,false,true,true,1.4,,,,,,,0,0,,,,,,0.00,0.00,,7559.30
PO-1672805,XR Textile,PRODUCTION,in_progress,,2026-04-17,2026-06-30,M,2026-07-07,calc,2026-07-07,calc,2026-07-14,,2026-06-30,,,false,,,1169.4200,true,,false,1169.42,30.00,20.00,50.00,350.83,233.88,584.71,0.00,350.83,,,233.88,,,,,,,0.00,15913.53,1.34240,Saudi Arabia,2026-04-17,2026-06-30,2026-09-05,,60,on_clearance,P55-UK-XR2,,,,,Anwan Al Afkar Trading,,AAL22467-3,AAL22467-3,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,UK,M,UK,Direct to Client,PO-1672805,55,55.0326,false,false,0,21,21,2026-07-08,1672805,true,1,,,true,true,true,true,0.2,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",140.33,261.95,20,1571.70
PO-1678113,XR Textile,PRODUCTION,in_progress,,2026-04-24,2026-07-09,M,2026-07-04,S,2026-07-05,S,2026-07-12,,2026-07-09,,,false,,,4278.7000,true,,false,4278.70,30.00,20.00,50.00,1283.61,855.74,2139.35,0.00,1283.61,,,855.74,,,,,,,0.00,33506.23,,"BCDM1 Cartons - Max weight 15kg

Ship to UK ILG",2026-04-24,2026-07-09,2026-09-03,,60,on_clearance,P56-UK-XR1,,,,,NEXT,BCDM1 Cartons - Max weight 15kg. NO RFID LABELS,NEXT23106-11,NEXT23106-11,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,UK B2B NEXT,PO-1678113,56,56.0526,true,true,0,9,9,2026-07-08,1678113,true,1,,,true,false,true,true,0.6,,,,,,,0,0,,,,,,0.00,0.00,,4278.70
PO-1678119,Lixin,PRODUCTION,in_progress,,2026-04-24,2026-06-30,M,2026-07-07,calc,2026-08-22,S,2026-08-22,,2026-06-30,,,true,,,22771.2000,true,,false,22771.20,30.00,20.00,50.00,6831.36,4554.24,11385.60,0.00,6831.36,,,4554.24,,,,,,,0.00,73646.90,,"BCDM1 Cartons - Max weight 15kg

Ship to UK ILG",2026-04-24,2026-06-30,2026-11-20,,90,on_clearance,P56-UK-LX1,PO-1678119,sea,FLEXPORT,FLEX-4000713,NEXT,BCDM1 Cartons - Max weight 15kg. NO RFID LABELS,NEXT23106-11,NEXT23106-11,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,UK B2B NEXT,PO-1678119,56,56.0526,true,false,0,32,32,2026-08-28,1678119,true,1,,,false,false,true,true,3.9,,,,,,2026-07-25,0,0,,,,,,0.00,0.00,,22771.20
PO-1678120,Jinma (Merry),PRODUCTION,in_progress,,2026-04-24,2026-06-30,M,2026-07-07,calc,2026-09-05,calc,2026-09-12,,2026-06-30,,,false,,,1375.0000,true,,false,1375.00,0.00,0.00,100.00,0.00,0,1375.00,0.00,0.00,,,0,,,,,,,0.00,,,"BCDM1 Cartons - Max weight 15kg

Ship to UK ILG",,,2026-09-05,,60,on_shipment,,,,,,NEXT,BCDM1 Cartons - Max weight 15kg. NO RFID LABELS,NEXT23106-11,NEXT23106-11,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,UK B2B NEXT,PO-1678120,56,56.0526,true,false,0,3,3,2026-07-08,1678120,true,1,,,false,false,false,true,0.2,,,,,,,0,0,,,,,,0.00,0.00,,1375.00
PO-1678126,Weireken,PRODUCTION,in_progress,,2026-04-24,2026-06-30,M,2026-07-07,calc,2026-09-05,calc,2026-09-12,,2026-06-30,,,false,,,648.0000,true,,false,648.00,30.00,0,70.00,194.40,0,453.60,0.00,194.40,,,0,,,,,,,0.00,18425.14,1.33517,"Glow Getaway Stock to be sent to Lixin

ONLY XS DRY Bags need BCDM1 Cartons - Max weight 15kg

Ship to UK ILG",2026-04-24,,2026-08-06,,30,on_shipment,P55-UK-WK1,,,,,NEXT,BCDM1 Cartons - Max weight 15kg. NO RFID LABELS,NEXT23106-11,NEXT23106-11,,,,,,,,,false,false,,,,true,,true,,false,,true,,false,,,,,,OT,M,OT,UK B2B NEXT,PO-1678126,55,55.041,false,false,0,2,2,2026-07-08,1678126,true,1,,,false,false,false,true,0.0,,,,,,,0,0,,,,,,0.00,0.00,,648.00
PO-1683068,XR Textile,PRODUCTION,in_progress,,2026-04-28,2026-06-30,M,2026-07-07,calc,2026-07-07,calc,2026-07-14,,2026-06-30,,,false,,,2441.8800,true,,false,2441.88,30.00,20.00,50.00,732.56,488.38,1220.94,0.00,732.56,,,488.38,,,,,,,0.00,33506.23,,"PO-1683068A Crossdock PO for Geneva. 

Inner of 6 units. 7 inner cartons per master carton. 

Labels on inner & master cartons.",2026-04-28,2026-06-30,2026-09-05,,60,on_clearance,P56-UK-XR1,,,,,The Container Store,Inner of 6 units. 7 inner cartons per master carton. Labels on inner & master cartons.,CSTO28622-2,10029167102,,,,,,,,"CROSSDOCK-2, CROSSDOCK-5",false,false,,,,true,,true,,false,,true,,false,,,,,,UK,M,UK,Direct to Client,PO-1683068,56,56.0526,true,false,0,1,1,2026-07-09,1683068,true,1,,,true,true,true,true,0.4,,,,,,,0,0,,,,,"[object Object],[object Object],[object Object]",293.03,546.98,20,3281.89
PO-1683100,XR Textile,PRODUCTION,in_progress,,2026-04-28,2026-06-30,M,2026-07-07,calc,2026-07-07,calc,2026-07-14,,2026-06-30,,,false,,,1292.7600,true,,false,1292.76,30.00,20.00,50.00,387.83,258.55,646.38,0.00,387.83,,,258.55,,,,,,,0.00,33506.23,,"PO-1683100A Crossdock PO for Geneva. 

Inner of 6 units. 7 inner cartons per master carton. 

Labels on inner & master cartons.",2026-04-28,2026-06-30,2026-09-05,,60,on_clearance,P56-UK-XR1,,,,,The Container Store,Inner of 6 units. 7 inner cartons per master carton. Labels on inner & master cartons.,CSTO28622-1,10029167101,,,2026-06-30,preview (acting as XR Textile),,,,CROSSDOCK-1,false,false,,,,true,this and that,true,,false,,true,,false,,normal pallet label;s,,2026-06-30 10:09,D&B (preview),US,M,US,Direct to Client,PO-1683100,56,56.0526,true,false,0,1,1,2026-07-09,1683100,true,1,in_production,24,true,true,true,true,0.2,,,,,,,1,0,,,,,"[object Object],[object Object],[object Object]",116.35,0.00,0,1409.11
PO-1693118,Lixin,PRODUCTION,in_progress,,2026-05-07,2026-06-30,M,2026-07-07,calc,2026-07-07,calc,2026-07-14,,2026-06-30,,,true,,,19111.8000,true,19207.20,true,19207.20,30.00,20.00,50.00,3841.44,5762.16,9603.60,0.00,5762.16,3841.44,2026-06-24,5762.16,5762.16,2026-07-01,,,,,1920.72,20083.72,,Use old TOWLB-CAB-LG-LTPNK-R colour. Until - Ship mid June,2026-05-07,2026-06-30,2026-08-07,2026-08-07,90,on_clearance,P56-AU-LX1,PO-1693118,fob,,FOB,Until,"COO, Inner cartons of 6 units.",UDIS17187-31,PO1903,,,2026-07-11,preview (acting as Lixin),[object Object],,,"CROSSDOCK-6, CROSSDOCK-19",false,false,,,,true,,true,,false,,true,,false,,,,2026-07-11 19:13,D&B (preview),UK,M,UK,Direct to Client,PO-1693118,56,56.0526,true,false,2,5,7,2026-06-21,1693118,true,1,in_production,13,true,true,false,true,4.0,,,,,,2026-08-29,0,0,,,,,"[object Object],[object Object],[object Object]",2258.78,4293.20,20,25759.18
