Month,Branch,BranchId,Reference,CustomerOrderNo,Company,Stage,DispatchDate,Total,Currency
2026-07,Direct to Client,5051,D25312-4,PO-55UKLX-AW26-3,Dock & Bay,Dispatched,2026-07-03,763.2,GBP
2026-07,Direct to Client,5051,DILLARDS-3223429506,3223429506,DILLARDS,Dispatched,2026-07-16,2750.5947,USD
2026-07,Direct to Client,5051,DILLARDS-3223429505,3223429505,DILLARDS,Dispatched,2026-07-16,14927.3418,USD
2026-07,Direct to Client,5051,DILLARDS-3223429504,3223429504,DILLARDS,Dispatched,2026-07-16,7564.1357,USD
2026-07,Direct to Client,5051,DILLARDS-3223429503,3223429503,DILLARDS,Dispatched,2026-07-16,1375.2974,USD
2026-07,Direct to Client,5051,DILLARDS-3223429502,3223429502,DILLARDS,Dispatched,2026-07-16,8939.4336,USD
2026-07,Direct to Client,5051,DILLARDS-3223429501,3223429501,DILLARDS,Dispatched,2026-07-16,4125.8926,USD
2026-07,Direct to Client,5051,DILLARDS-3222503006,3222503006,DILLARDS,Dispatched,2026-07-16,1582.9664,USD
2026-07,Direct to Client,5051,DILLARDS-3222503005,3222503005,DILLARDS,Dispatched,2026-07-16,9497.7988,USD
2026-07,Direct to Client,5051,DILLARDS-3222503004,3222503004,DILLARDS,Dispatched,2026-07-16,4353.1577,USD
2026-07,Direct to Client,5051,DILLARDS-3222503003,3222503003,DILLARDS,Dispatched,2026-07-16,791.4832,USD
2026-07,Direct to Client,5051,DILLARDS-3222503002,3222503002,DILLARDS,Dispatched,2026-07-16,5144.6411,USD
2026-07,Direct to Client,5051,DILLARDS-3222503001,3222503001,DILLARDS,Dispatched,2026-07-16,2374.4497,USD
2026-08,Direct to Client,5051,MMY11502-17,,Make My Day,Dispatched,2026-08-18,6020.83,USD
