Month,Action,Result,Branch,BranchId,Reference,CustomerOrderNo,Company,Stage,DispatchDate,InvoiceDateSet,Total,Currency
2025-04,UPDATE,ok,EU iFulfilment,25073,EUWS-2496,,Marie Pipelette,Dispatched,2025-04-30,2025-04-30,470.5096,EUR
2025-04,UPDATE,ok,EU iFulfilment,25073,EUWS-2490,,Mieux,Dispatched,2025-04-30,2025-04-30,364.2356,EUR
2025-04,UPDATE,ok,EU iFulfilment,25073,SNTO10596-16,,SP NTOVAS AND CO,Dispatched,2025-04-30,2025-04-30,22296.22,EUR
2025-04,UPDATE,ok,US Geneva,5055,USWS-15892,,St joe apparel,Dispatched,2025-04-02,2025-04-02,183.57,USD
2025-05,UPDATE,ok,UK,5053,UKWS-5553A,TRP0002424	,WWF-UK Goods in,Dispatched,2025-05-03,2025-05-03,2029.8,GBP
2025-05,UPDATE,ok,Amazon US,16288,AU-108388,,,Dispatched,2025-05-14,2025-05-14,49.16,AUD
2025-05,UPDATE,ok,EU iFulfilment,25073,EUWS-2526,200062226,Nature et Decouvertes,Dispatched,2025-05-10,2025-05-10,15694.38,EUR
2025-05,UPDATE,ok,EU iFulfilment,25073,KCOM25056-1,,KUST Company,Dispatched,2025-05-15,2025-05-15,4553.2,EUR
2025-05,UPDATE,ok,EU iFulfilment,25073,EUWS-2501,,CORSICA DUTY FREE,Dispatched,2025-05-26,2025-05-26,5251.24,EUR
2025-07,UPDATE,ok,?,16539,ITES14773-6,,iClickSee Test,Dispatched,2025-07-10,2025-07-10,57.888,GBP
2025-10,UPDATE,ok,EU iFulfilment,25073,EUWS-2652A,,,Dispatched,2025-10-30,2025-10-30,359.7595,EUR
2025-11,UPDATE,ok,UK,5053,EU-27880,,,Dispatched,2025-11-10,2025-11-10,245.93,EUR
2026-03,UPDATE,ok,EU iFulfilment,25073,EUWS-2864A,,Spuersinn24 ,Dispatched,2026-03-03,2026-03-03,575.5547,EUR
2026-03,UPDATE,ok,EU iFulfilment,25073,EUWS-2826,,Kitchen Cabinet Onlineshop ,Dispatched,2026-03-03,2026-03-03,710.7566,EUR
2026-03,UPDATE,ok,EU iFulfilment,25073,EUWS-2825,,Kitchen Cabinet Onlineshop ,Dispatched,2026-03-03,2026-03-03,1643.8644,EUR
2026-04,UPDATE,ok,EU iFulfilment,25073,EUWS-2918,,LA PATIO CENELIA,Dispatched,2026-04-14,2026-04-14,2224.1313,EUR
2026-06,UPDATE,ok,Amazon AU,16289,503-3305843-4209463,,[Redacted],Dispatched,2026-06-30,2026-06-30,35.46,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-7010238-4495037,,[Redacted],Dispatched,2026-06-30,2026-06-30,15.62,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-2999410-9035057,,[Redacted],Dispatched,2026-06-30,2026-06-30,54.49,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-2165349-8851054,,[Redacted],Dispatched,2026-06-30,2026-06-30,31.25,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-5023725-5552655,,[Redacted],Dispatched,2026-06-30,2026-06-30,33.9,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-4977444-1067841,,[Redacted],Dispatched,2026-06-30,2026-06-30,28.57,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-7538952-6479845,,[Redacted],Dispatched,2026-06-30,2026-06-30,31.16,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-4662393-1237426,,[Redacted],Dispatched,2026-06-30,2026-06-30,13.8,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-1481357-1211807,,[Redacted],Dispatched,2026-06-30,2026-06-30,56.74,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-7651363-8948619,,[Redacted],Dispatched,2026-06-30,2026-06-30,37.87,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-5588261-0711022,,[Redacted],Dispatched,2026-06-29,2026-06-29,31.35,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-1774791-6387011,,[Redacted],Dispatched,2026-06-30,2026-06-30,7.26,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-4225388-1279800,,[Redacted],Dispatched,2026-06-30,2026-06-30,12.45,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-3043476-9311813,,[Redacted],Dispatched,2026-06-29,2026-06-29,27.3,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-5526731-0341462,,[Redacted],Dispatched,2026-06-29,2026-06-29,33.96,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-1299688-2114232,,[Redacted],Dispatched,2026-06-29,2026-06-29,31.35,AUD
2026-06,UPDATE,ok,US Geneva,5055,111-7460917-9520265,,[Redacted],Dispatched,2026-06-30,2026-06-30,213.1926,USD
2026-06,UPDATE,ok,Amazon AU,16289,249-4161115-1878246,,[Redacted],Dispatched,2026-06-29,2026-06-29,6.94,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-0341336-7944672,,[Redacted],Dispatched,2026-06-28,2026-06-28,59.53,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-3510878-8307026,,[Redacted],Dispatched,2026-06-29,2026-06-29,22.16,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-1727908-0747044,,[Redacted],Dispatched,2026-06-29,2026-06-29,54.6,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-2956937-6779026,,[Redacted],Dispatched,2026-06-28,2026-06-28,6.94,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-0233636-1956650,,[Redacted],Dispatched,2026-06-29,2026-06-29,28.85,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-0881456-6241437,,[Redacted],Dispatched,2026-06-28,2026-06-28,31.33,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-3162094-5100603,,[Redacted],Dispatched,2026-06-29,2026-06-29,27.3,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-6306019-0555844,,[Redacted],Dispatched,2026-06-29,2026-06-29,16.72,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-2065911-0289464,,[Redacted],Dispatched,2026-06-29,2026-06-29,28.74,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-2185433-8655835,,[Redacted],Dispatched,2026-06-28,2026-06-28,12.53,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-5452293-2035800,,[Redacted],Dispatched,2026-06-28,2026-06-28,31.33,AUD
2026-06,UPDATE,ok,US Geneva,5055,111-5763260-9966647,,[Redacted],Dispatched,2026-06-29,2026-06-29,30.2936,USD
2026-06,UPDATE,ok,Amazon AU,16289,503-4541072-6264642,,[Redacted],Dispatched,2026-06-28,2026-06-28,7.31,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-9193965-5459806,,[Redacted],Dispatched,2026-06-29,2026-06-29,62.27,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-5046966-7885456,,[Redacted],Dispatched,2026-06-27,2026-06-27,31.34,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-2150328-0544660,,[Redacted],Dispatched,2026-06-28,2026-06-28,31.33,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-5308471-5218229,,[Redacted],Dispatched,2026-06-27,2026-06-27,57.06,AUD
2026-06,UPDATE,ok,AU,17489,AU-139178,,,Dispatched,2026-06-30,2026-06-30,59.14,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-5161028-2135034,,[Redacted],Dispatched,2026-06-27,2026-06-27,16.71,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-4778605-1847062,,[Redacted],Dispatched,2026-06-28,2026-06-28,31.33,AUD
2026-06,UPDATE,ok,UK,5053,UK-846196,,,Dispatched,2026-06-27,2026-06-27,80,GBP
2026-06,UPDATE,ok,Amazon AU,16289,503-7870881-1872654,,[Redacted],Dispatched,2026-06-27,2026-06-27,59.54,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-5423055-6069429,,[Redacted],Dispatched,2026-06-27,2026-06-27,53.28,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-8485837-5834268,,[Redacted],Dispatched,2026-06-27,2026-06-27,82.14,AUD
2026-06,UPDATE,ok,Amazon AU,16289,250-6649334-8431846,,[Redacted],Dispatched,2026-06-27,2026-06-27,24.85,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-8701258-4873467,,[Redacted],Dispatched,2026-06-27,2026-06-27,54.58,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-9570782-5371069,,[Redacted],Dispatched,2026-06-28,2026-06-28,49.61,AUD
2026-06,UPDATE,ok,Amazon AU,16289,249-2335212-4384604,,[Redacted],Dispatched,2026-06-27,2026-06-27,20.83,AUD
2026-06,UPDATE,ok,Amazon AU,16289,503-8786653-3497417,,[Redacted],Dispatched,2026-06-27,2026-06-27,31.34,AUD
