issue,sku,subcategory,category,status,variant_type,in_planning_scope,market_tier,core_seasonal,release_window,launch_uk,note
A_variant_type_null,TEATWL-MD-3SET-BAKDIL,,,ACTIVE,(null),false,C,,AW26,2026-09-01,multipack/prepack - set variant_type (SET or prepack) + in_planning_scope
A_variant_type_null,TEATWL-MD-3SET-BIGDILL,,,ACTIVE,(null),false,C,,AW26,2026-09-01,multipack/prepack - set variant_type (SET or prepack) + in_planning_scope
A_variant_type_null,TEATWL-MD-3SET-GRNSAUC,,,ACTIVE,(null),false,C,,AW26,2026-09-01,multipack/prepack - set variant_type (SET or prepack) + in_planning_scope
A_variant_type_null,TEATWL-MD-3SET-MTCHCRSH,,,ACTIVE,(null),false,C,,AW26,2026-09-01,multipack/prepack - set variant_type (SET or prepack) + in_planning_scope
A_variant_type_null,TEATWL-MD-3SET-STRWPOP,,,ACTIVE,(null),false,C,,AW26,2026-09-01,multipack/prepack - set variant_type (SET or prepack) + in_planning_scope
A_variant_type_null,TEATWL-MD-3SET-SWTSAUC,,,ACTIVE,(null),false,C,,AW26,2026-09-01,multipack/prepack - set variant_type (SET or prepack) + in_planning_scope
A_variant_type_null,TEATWL-MD-3SET-XTRSAUC,,,ACTIVE,(null),false,C,,AW26,2026-09-01,multipack/prepack - set variant_type (SET or prepack) + in_planning_scope
A_variant_type_null,TEATWL-MD-5SET-KITCH,,,ACTIVE,(null),false,C,,AW26,2026-09-01,multipack/prepack - set variant_type (SET or prepack) + in_planning_scope
A_variant_type_null,TEATWL-MD-6SET-PCKMX,,,ACTIVE,(null),false,C,,AW26,2026-09-01,multipack/prepack - set variant_type (SET or prepack) + in_planning_scope
A_variant_type_null,TEATWL-MD-6SET-STRWMTCH,,,ACTIVE,(null),false,C,,AW26,2026-09-01,multipack/prepack - set variant_type (SET or prepack) + in_planning_scope
A_variant_type_null,TOWLH-CLB-3SET-MIDFIZ,,,ACTIVE,(null),false,C,,AW26,2026-09-01,multipack/prepack - set variant_type (SET or prepack) + in_planning_scope
A_variant_type_null,TOWLH-CLB-6SET-MIDFIZ,,,ACTIVE,(null),false,C,,AW26,2026-09-01,multipack/prepack - set variant_type (SET or prepack) + in_planning_scope
A_variant_type_null,TOWLH-CLB-LG-4SET-FIZPAIR,,,ACTIVE,(null),false,C,,AW26,2026-09-01,multipack/prepack - set variant_type (SET or prepack) + in_planning_scope
A_variant_type_null,TOWLH-CLB-XL-4SET-FIZPAIR,,,ACTIVE,(null),false,C,,AW26,2026-09-01,multipack/prepack - set variant_type (SET or prepack) + in_planning_scope
A_variant_type_null,TOWLH-DES-3SET-BOHMDRM,,,ACTIVE,(null),false,C,,AW26,2026-09-01,multipack/prepack - set variant_type (SET or prepack) + in_planning_scope
A_variant_type_null,HAIRW-SUE-GRTFRM,Hair Wrap CORE,Hair Wrap,ACTIVE,(null),false,C,,SS27,2027-02-01,set variant_type=MASTER + in_planning_scope=true
A_variant_type_null,PONCHK-CAB-MD-YELL,Poncho - Kids,Poncho - Kids,ACTIVE,(null),false,C,,SS27,2027-02-01,set variant_type=MASTER + in_planning_scope=true
