country,channel,subcategory,month,sku,tier,basis,subcat_target,proposed_units
EU,DTC,Towel - Home,2027_06,TOWLH-CLB-LG-CHRYBMB,A,leader,47,12
EU,DTC,Towel - Home,2027_06,TOWLH-CLB-XL-CHRYBMB,A,leader,47,9
EU,DTC,Towel - Home,2027_06,TOWLH-CLB-XL-PEPPNCH,A,leader,47,7
EU,DTC,Towel - Home,2027_06,TOWLH-CLB-LG-PEPPNCH,A,leader,47,5
EU,DTC,Towel - Home,2027_06,TOWLH-CLB-SM-PEPPNCH,A,leader,47,4
EU,DTC,Towel - Home,2027_06,TOWLH-CBH-XL-4SET,C,leader,47,4
EU,DTC,Towel - Home,2027_06,TOWLH-CLB-SM-CHRYBMB,A,leader,47,4
EU,DTC,Towel - Home,2027_06,TOWLH-CLB-3SET-CHRYBMB,C,leader,47,1
EU,DTC,Towel - Home,2027_06,TOWLH-CLB-3SET-PEPPNCH,C,leader,47,1
EU,DTC,Towel - Home,2027_06,TOWLH-CLB-6SET-CHRYBMB,C,leader,47,1
EU,FBA,Bag - Dry XS,2027_05,BAGDRY-XS-NAVY,C,leader,1,1
EU,FBA,Cooling,2027_03,COOL-CAB-LTPNK-R,C,leader,3,2
EU,FBA,Cooling,2027_04,COOL-CAB-LTPNK-R,C,leader,1,1
EU,FBA,Towel - Home,2027_06,TOWLH-CLB-LG-CHRYBMB,A,leader,4,1
EU,FBA,Towel - Home,2027_06,TOWLH-CLB-XL-PEPPNCH,A,leader,4,1
EU,FBA,Towel - Home,2027_06,TOWLH-CLB-XL-CHRYBMB,A,leader,4,1
UK,B2B,Cooling,2027_06,COOL-CAB-NAVY-R,C,leader,3,1
UK,B2B,Cooling,2027_06,COOL-CAB-LTPNK-R,C,leader,3,1
UK,B2B,Lanyard,2027_04,LANYARD-SUM-PSTPIER,A,tier-equal,10,3
UK,B2B,Lanyard,2027_04,LANYARD-SUM-BLUSKY,A,tier-equal,10,3
UK,B2B,Lanyard,2027_04,LANYARD-SUM-RSPROAD,B,tier-equal,10,2
UK,B2B,Lanyard,2027_04,LANYARD-SUM-MELLOW,B,tier-equal,10,2
UK,B2B,Lanyard,2027_05,LANYARD-SUM-BLUSKY,A,tier-equal,8,2
UK,B2B,Lanyard,2027_05,LANYARD-SUM-MELLOW,B,tier-equal,8,2
UK,B2B,Lanyard,2027_05,LANYARD-SUM-PSTPIER,A,tier-equal,8,2
UK,B2B,Lanyard,2027_05,LANYARD-SUM-RSPROAD,B,tier-equal,8,2
UK,B2B,Towel - Beach SEASONAL BRIGHTS,2027_06,TOWLB-DES-LG-BLUSKY,A,leader,728,157
UK,B2B,Towel - Beach SEASONAL BRIGHTS,2027_06,TOWLB-DES-XL-BLUSKY,A,leader,728,123
UK,B2B,Towel - Beach SEASONAL BRIGHTS,2027_06,TOWLB-DES-LG-PSTPIER,A,leader,728,117
UK,B2B,Towel - Beach SEASONAL BRIGHTS,2027_06,TOWLB-DES-LG-RSPROAD,A,leader,728,116
UK,B2B,Towel - Beach SEASONAL BRIGHTS,2027_06,TOWLB-DES-LG-MELLOW,A,leader,728,65
UK,B2B,Towel - Beach SEASONAL BRIGHTS,2027_06,TOWLB-DES-XL-RSPROAD,A,leader,728,59
UK,B2B,Towel - Beach SEASONAL BRIGHTS,2027_06,TOWLB-DES-XL-PSTPIER,A,leader,728,56
UK,B2B,Towel - Beach SEASONAL BRIGHTS,2027_06,TOWLB-DES-XL-MELLOW,A,leader,728,35
UK,DTC,Bag - Beach,2026_12,BAGBCH-MD-NAVY,C,leader,119,119
UK,DTC,Bag - Beach,2027_01,BAGBCH-MD-NAVY,C,leader,60,60
UK,DTC,Bag - Beach,2027_02,BAGBCH-MD-NAVY,C,leader,71,71
UK,DTC,Lanyard,2027_04,LANYARD-SUM-BLUSKY,A,tier-equal,124,37
UK,DTC,Lanyard,2027_04,LANYARD-SUM-PSTPIER,A,tier-equal,124,37
UK,DTC,Lanyard,2027_04,LANYARD-SUM-MELLOW,B,tier-equal,124,25
UK,DTC,Lanyard,2027_04,LANYARD-SUM-RSPROAD,B,tier-equal,124,25
UK,DTC,Lanyard,2027_05,LANYARD-SUM-BLUSKY,A,tier-equal,174,52
UK,DTC,Lanyard,2027_05,LANYARD-SUM-PSTPIER,A,tier-equal,174,52
UK,DTC,Lanyard,2027_05,LANYARD-SUM-MELLOW,B,tier-equal,174,35
UK,DTC,Lanyard,2027_05,LANYARD-SUM-RSPROAD,B,tier-equal,174,35
UK,DTC,Lanyard,2027_06,LANYARD-SUM-BLUSKY,A,tier-equal,178,53
UK,DTC,Lanyard,2027_06,LANYARD-SUM-PSTPIER,A,tier-equal,178,53
UK,DTC,Lanyard,2027_06,LANYARD-SUM-RSPROAD,B,tier-equal,178,36
UK,DTC,Lanyard,2027_06,LANYARD-SUM-MELLOW,B,tier-equal,178,36
UK,FBA,Bag - Beach,2026_11,BAGBCH-MD-NAVY,C,leader,10,10
UK,FBA,Bag - Beach,2026_12,BAGBCH-MD-NAVY,C,leader,10,10
UK,FBA,Bag - Beach,2027_03,BAGBCH-MD-NAVY,C,leader,13,13
UK,FBA,Bag - Beach,2027_04,BAGBCH-MD-NAVY,C,leader,23,23
UK,FBA,Bag - Beach,2027_05,BAGBCH-MD-NAVY,C,leader,48,48
UK,FBA,Bag - Beach,2027_06,BAGBCH-MD-NAVY,C,leader,69,69
UK,FBA,Towel - Home,2027_06,TOWLH-CLB-LG-CHRYBMB,A,leader,107,36
UK,FBA,Towel - Home,2027_06,TOWLH-CLB-XL-CHRYBMB,A,leader,107,25
UK,FBA,Towel - Home,2027_06,TOWLH-CLB-XL-PEPPNCH,A,leader,107,17
UK,FBA,Towel - Home,2027_06,TOWLH-CLB-LG-PEPPNCH,A,leader,107,17
UK,FBA,Towel - Home,2027_06,TOWLH-CLB-SM-CHRYBMB,A,leader,107,5
UK,FBA,Towel - Home,2027_06,TOWLH-CLB-SM-PEPPNCH,A,leader,107,4
UK,FBA,Towel - Home,2027_06,TOWLH-CLB-3SET-CHRYBMB,C,leader,107,1
UK,FBA,Towel - Home,2027_06,TOWLH-CLB-3SET-PEPPNCH,C,leader,107,1
US,B2B,Lanyard,2027_02,LANYARD-SUM-BLUSKY,A,tier-equal,16,5
US,B2B,Lanyard,2027_02,LANYARD-SUM-PSTPIER,A,tier-equal,16,5
US,B2B,Lanyard,2027_02,LANYARD-SUM-MELLOW,B,tier-equal,16,3
US,B2B,Lanyard,2027_02,LANYARD-SUM-RSPROAD,B,tier-equal,16,3
US,B2B,Towel - Home,2027_02,TOWLH-CLB-LG-CHRYBMB,A,leader,50,14
US,B2B,Towel - Home,2027_02,TOWLH-CLB-LG-PEPPNCH,A,leader,50,12
US,B2B,Towel - Home,2027_02,TOWLH-CLB-XL-CHRYBMB,A,leader,50,11
US,B2B,Towel - Home,2027_02,TOWLH-CLB-XL-PEPPNCH,A,leader,50,9
US,B2B,Towel - Home,2027_02,TOWLH-CLB-SM-CHRYBMB,A,leader,50,4
US,DTC,Bag - Toiletry,2027_06,BAGTOI-MD-CHRYBMB,A,leader,22,14
US,DTC,Bag - Toiletry,2027_06,BAGTOI-MD-PEPPNCH,A,leader,22,8
US,DTC,Beach Pillow,2026_09,BALLAST-SUM-MIAMI,C,leader,6,3
US,DTC,Beach Pillow,2026_09,BALLAST-CAB-NAVY,C,leader,6,3
US,DTC,Lanyard,2027_03,LANYARD-SUM-BLUSKY,A,tier-equal,32,10
US,DTC,Lanyard,2027_03,LANYARD-SUM-PSTPIER,A,tier-equal,32,10
US,DTC,Lanyard,2027_03,LANYARD-SUM-MELLOW,B,tier-equal,32,6
US,DTC,Lanyard,2027_03,LANYARD-SUM-RSPROAD,B,tier-equal,32,6
US,FBA,Bag - Beach,2027_02,BAGBCH-MD-NAVY,C,leader,12,12
US,FBA,Bag - Beach,2027_03,BAGBCH-MD-NAVY,C,leader,25,25
US,FBA,Bag - Beach,2027_04,BAGBCH-MD-NAVY,C,leader,19,19
US,FBA,Bag - Beach,2027_05,BAGBCH-MD-NAVY,C,leader,11,11
US,FBA,Bag - Beach,2027_06,BAGBCH-MD-NAVY,C,leader,30,30
US,FBA,Bag - Cooling,2027_06,BAGCOOL-MD-NAVY,C,leader,1,1
US,FBA,Bag - Dry XS,2027_01,BAGDRY-XS-NAVY,C,leader,1,1
US,FBA,Bag - Toiletry,2027_02,BAGTOI-MD-CHRYBMB,A,leader,20,12
US,FBA,Bag - Toiletry,2027_02,BAGTOI-MD-PEPPNCH,A,leader,20,8
US,FBA,Bag - Toiletry,2027_06,BAGTOI-MD-CHRYBMB,A,leader,66,39
US,FBA,Bag - Toiletry,2027_06,BAGTOI-MD-PEPPNCH,A,leader,66,28
