Preorder,Cin7_UPC,Master_UPC,Match,Master_maps_Cin7_UPC_to,Note
PREORDER-001,0080101176842,0080101176842,OK,"PREORDER-001",""
PREORDER-002,0080101176859,0080101176859,OK,"PREORDER-002",""
PREORDER-003,0080101176866,0080101176866,OK,"PREORDER-003",""
PREORDER-004,0080101176873,0080101176873,OK,"PREORDER-004",""
PREORDER-005,0080101176880,0080101176880,OK,"PREORDER-005",""
PREORDER-006,0080101176897,0080101176897,OK,"PREORDER-006",""
PREORDER-007,0080101176903,0080101176903,OK,"PREORDER-007",""
PREORDER-008,0080101176910,0080101176910,OK,"PREORDER-008",""
PREORDER-009,0080101176927,0080101176927,OK,"PREORDER-009",""
PREORDER-010,0080101176934,0080101176934,OK,"PREORDER-010",""
PREORDER-011,0080101176941,0080101176941,OK,"PREORDER-011",""
PREORDER-012,0080101176958,0080101176958,OK,"PREORDER-012",""
PREORDER-013,0080101177320,0080101177320,OK,"PREORDER-013",""
PREORDER-014,0080101177337,0080101177337,OK,"PREORDER-014",""
PREORDER-015,0080101177344,0080101177344,OK,"PREORDER-015",""
PREORDER-016,0080101177399,0080101177399,OK,"PREORDER-016",""
PREORDER-017,0080101177412,0080101177405,MISMATCH,"PREORDER-018","master gives PREORDER-017 a different UPC; your UPC is owned by PREORDER-018"
PREORDER-018,0080101177641,0080101177412,MISMATCH,"PREORDER-019","master gives PREORDER-018 a different UPC; your UPC is owned by PREORDER-019"
PREORDER-019,0080101177658,0080101177641,MISMATCH,"PREORDER-020","master gives PREORDER-019 a different UPC; your UPC is owned by PREORDER-020"
PREORDER-020,0080101177665,0080101177658,MISMATCH,"PREORDER-021","master gives PREORDER-020 a different UPC; your UPC is owned by PREORDER-021"
PREORDER-021,0080101177672,0080101177665,MISMATCH,"PREORDER-022","master gives PREORDER-021 a different UPC; your UPC is owned by PREORDER-022"
PREORDER-022,0080101177689,0080101177672,MISMATCH,"PREORDER-023","master gives PREORDER-022 a different UPC; your UPC is owned by PREORDER-023"
PREORDER-023,0080101177696,0080101177689,MISMATCH,"PREORDER-024","master gives PREORDER-023 a different UPC; your UPC is owned by PREORDER-024"
PREORDER-024,0080101177702,0080101177696,MISMATCH,"PREORDER-025","master gives PREORDER-024 a different UPC; your UPC is owned by PREORDER-025"
PREORDER-025,0080101177719,0080101177702,MISMATCH,"PREORDER-026","master gives PREORDER-025 a different UPC; your UPC is owned by PREORDER-026"
PREORDER-026,0080101177726,0080101177719,MISMATCH,"PREORDER-027","master gives PREORDER-026 a different UPC; your UPC is owned by PREORDER-027"
PREORDER-027,0080101177733,0080101177726,MISMATCH,"PREORDER-028","master gives PREORDER-027 a different UPC; your UPC is owned by PREORDER-028"
