output_sku,input_sku,input_quantity
TOWLB-DES-LG-4SET-SUNBLVD,TOWLB-SUM-LG-MIAMI,1
TOWLB-DES-LG-4SET-SUNBLVD,TOWLB-SUM-LG-COLAGN,1
TOWLB-DES-LG-4SET-SUNBLVD,TOWLB-DES-LG-LEMWAV,1
TOWLB-DES-LG-4SET-SUNBLVD,TOWLB-DES-LG-BLUSPRIT,1
TOWLB-DES-LG-4SET-TANGGRN,TOWLB-SUM-LG-MIAMI,1
TOWLB-DES-LG-4SET-TANGGRN,TOWLB-SUM-LG-COLAGN,1
TOWLB-DES-LG-4SET-TANGGRN,TOWLB-DES-LG-CHECKMT,1
TOWLB-DES-LG-4SET-TANGGRN,TOWLB-DES-LG-GROOVCH,1
TOWLB-DES-LG-6SET-SUMSUGA,TOWLB-SUM-LG-MIAMI,1
TOWLB-DES-LG-6SET-SUMSUGA,TOWLB-SUM-LG-COLAGN,1
TOWLB-DES-LG-6SET-SUMSUGA,TOWLB-DES-LG-LEMWAV,1
TOWLB-DES-LG-6SET-SUMSUGA,TOWLB-DES-LG-BLUSPRIT,1
TOWLB-DES-LG-6SET-SUMSUGA,TOWLB-DES-LG-CHECKMT,1
TOWLB-DES-LG-6SET-SUMSUGA,TOWLB-DES-LG-GROOVCH,1
TOWLB-DES-XL-4SET-TANGGRN,TOWLB-SUM-XL-MIAMI,1
TOWLB-DES-XL-4SET-TANGGRN,TOWLB-SUM-XL-COLAGN,1
TOWLB-DES-XL-4SET-TANGGRN,TOWLB-DES-XL-CHECKMT,1
TOWLB-DES-XL-4SET-TANGGRN,TOWLB-DES-XL-GROOVCH,1
TOWLB-DES-XL-6SET-SUMSUGA,TOWLB-SUM-XL-MIAMI,1
TOWLB-DES-XL-6SET-SUMSUGA,TOWLB-SUM-XL-COLAGN,1
TOWLB-DES-XL-6SET-SUMSUGA,TOWLB-DES-XL-LEMWAV,1
TOWLB-DES-XL-6SET-SUMSUGA,TOWLB-DES-XL-BLUSPRIT,1
TOWLB-DES-XL-6SET-SUMSUGA,TOWLB-DES-XL-CHECKMT,1
TOWLB-DES-XL-6SET-SUMSUGA,TOWLB-DES-XL-GROOVCH,1
