sku,market,buy_before,buy_after,delta_units
TOWLB-CAB-LG-BLUE-R,UK,3360,2440,-920
TOWLB-CAB-LG-PINK-R,UK,1320,640,-680
TOWLB-SUM-LG-TUTFRU,UK,1920,1240,-680
TOWLB-CAB-LG-BLUE-R,US,2720,2160,-560
TOWLB-CAB-LG-GREEN-R,UK,2280,1840,-440
TOWLB-DES-LG-BLUSKY,UK,1400,960,-440
TOWLB-DES-LG-MELLOW,UK,1960,1520,-440
TOWLB-SUM-LG-OCEAN,UK,2200,1760,-440
TOWLB-DES-LG-PSTPIER,UK,520,80,-440
TOWLB-DES-LG-RSPROAD,UK,1200,760,-440
TOWLB-DES-LG-BLUSKY,US,1240,840,-400
TOWLB-DES-LG-MELLOW,US,600,200,-400
TOWLB-DES-LG-RSPROAD,US,600,200,-400
TOWLB-CAB-XL-PINK-R,UK,2070,1710,-360
TOWLB-SUM-XL-TUTFRU,UK,2130,1770,-360
TOWLB-DES-LG-PSTPIER,US,1000,640,-360
TOWLB-CAB-LG-LTBLU-R,UK,4680,4360,-320
TOWLB-CAB-LG-GREEN-R,US,5680,5360,-320
TOWLB-CAB-LG-PINK-R,US,3760,3440,-320
TOWLB-CAB-LG-ORANG-R,UK,1080,800,-280
TOWLB-SUM-LG-TUTFRU,US,1440,1160,-280
TOWLB-CAB-LG-LTBLU-R,US,2920,2680,-240
TOWLB-DES-XL-BLUSKY,US,660,420,-240
TOWLB-CAB-XL-GREEN-R,UK,2130,1920,-210
TOWLB-DES-XL-RSPROAD,US,270,60,-210
TOWLB-CAB-XL-BLUE-R,US,660,450,-210
TOWLB-DES-XL-PSTPIER,US,360,150,-210
TOWLB-CAB-LG-NAVY-R,UK,8720,8520,-200
TOWLB-CAB-LG-YELL-R,US,1760,1560,-200
TOWLB-CAB-XL-ORANG-R,UK,300,120,-180
TOWLB-DES-XL-MELLOW,US,270,90,-180
TOWLB-CAB-LG-ORANG-R,US,1560,1400,-160
TOWLB-CAB-XL-YELL-R,UK,360,210,-150
TOWLB-SUM-XL-OCEAN,UK,2190,2040,-150
TOWLB-CAB-XL-GREEN-R,US,1740,1590,-150
TOWLB-SUM-XL-OCEAN,US,1350,1200,-150
TOWLB-SUM-XL-TUTFRU,US,1680,1530,-150
TOWLB-SUM-LG-UNICN-R,UK,640,520,-120
TOWLB-CAB-XL-LTPPL-R,UK,750,630,-120
TOWLB-CAB-XL-LTBLU-R,US,960,840,-120
TOWLB-SUM-LG-UNICN-R,US,800,680,-120
TOWLB-CAB-LG-LTPPL-R,US,2240,2120,-120
TOWLB-DES-XL-MELLOW,UK,330,240,-90
TOWLB-DES-XL-RSPROAD,UK,960,870,-90
TOWLB-DES-XL-BLUSKY,UK,450,360,-90
TOWLB-CAB-XL-YELL-R,US,750,660,-90
TOWLB-SUM-XL-MIAMI,US,300,210,-90
TOWLB-CAB-LG-LTBGE-R,UK,2840,2760,-80
TOWLH-CLB-XL-PEPPNCH,UK,480,420,-60
TOWLH-CLB-XL-CHRYBMB,UK,240,180,-60
TOWLB-CAB-XL-LTBGE-R,US,1410,1350,-60
TOWLB-SUM-XL-COLAGN,US,90,30,-60
TOWLH-CLB-LG-CHRYBMB,US,300,240,-60
TOWLB-CAB-XL-LTPPL-R,US,960,900,-60
TOWLB-SUM-MD-UNICN,UK,1150,1100,-50
TOWLB-CAB-MD-NAVY,UK,1950,1900,-50
TOWLH-CLB-SM-CHRYBMB,US,100,50,-50
TOWLB-CAB-MD-LTPNK,CA,50,0,-50
TOWLH-CLB-LG-CHRYBMB,UK,180,140,-40
TOWLB-SUM-LG-RAINB-R,UK,600,560,-40
TOWLH-CLB-XL-CHRYBMB,US,100,60,-40
TOWLB-SUM-LG-OCEAN,AU,200,160,-40
TOWLB-DES-LG-WYWH,AU,120,80,-40
TOWLB-SUM-XL-RAINB-R,UK,270,240,-30
TOWLB-SUM-XL-UNICN-R,UK,1200,1170,-30
TOWLB-DES-XL-PSTPIER,UK,1200,1170,-30
TOWLB-SUM-XL-UNICN-R,US,2850,2820,-30
TOWLB-CAB-XL-GREEN-R,EU,90,60,-30
TOWLB-SUM-XL-RAINB-R,EU,120,90,-30
TOWLB-DES-XL-TANTIDE,AU,90,60,-30
TOWLB-DES-XL-WYWH,AU,150,120,-30
TOWLH-CLB-LG-PEPPNCH,UK,340,320,-20
TOWLH-CLB-XL-PEPPNCH,US,60,40,-20
TOWLH-CLB-LG-PEPPNCH,US,120,100,-20
TOWLB-CAB-XL-PINK-R,CA,30,60,30
TOWLB-CAB-LG-NAVY-R,AU,3800,3840,40
TOWLB-CAB-LG-NAVY-R,CA,80,120,40
TOWLB-CAB-XL-NAVY-R,EU,1020,1080,60
TOWLB-CAB-XL-NAVY-R,AU,2400,2460,60
TOWLB-CAB-XL-NAVY-R,CA,60,150,90
TOWLB-CAB-XL-NAVY-R,UK,9510,9690,180
TOWLB-CAB-LG-NAVY-R,US,11640,12320,680
TOWLB-CAB-XL-NAVY-R,US,1800,2730,930
