sku,market,buy_before,buy_after,delta_units
TOWLB-CAB-LG-BLUE-R,UK,3280,2440,-840
TOWLB-CAB-LG-PINK-R,UK,1400,640,-760
TOWLB-SUM-LG-TUTFRU,UK,1920,1240,-680
TOWLB-CAB-LG-NAVY-R,UK,9200,8520,-680
TOWLB-DES-LG-BLUSKY,UK,1400,960,-440
TOWLB-DES-LG-MELLOW,UK,1960,1520,-440
TOWLB-SUM-LG-OCEAN,UK,2200,1760,-440
TOWLB-DES-LG-PSTPIER,UK,520,80,-440
TOWLB-DES-LG-RSPROAD,UK,1200,760,-440
TOWLB-CAB-XL-PINK-R,UK,2100,1710,-390
TOWLB-CAB-LG-GREEN-R,UK,2200,1840,-360
TOWLB-SUM-XL-TUTFRU,UK,2130,1770,-360
TOWLB-CAB-XL-NAVY-R,UK,10020,9690,-330
TOWLB-CAB-LG-LTBLU-R,UK,4600,4360,-240
TOWLB-CAB-LG-ORANG-R,UK,1000,800,-200
TOWLB-CAB-XL-GREEN-R,UK,2100,1920,-180
TOWLB-SUM-XL-OCEAN,UK,2190,2040,-150
TOWLB-CAB-XL-ORANG-R,UK,210,120,-90
TOWLB-DES-XL-MELLOW,UK,330,240,-90
TOWLB-DES-XL-RSPROAD,UK,960,870,-90
TOWLB-CAB-XL-LTPPL-R,UK,720,630,-90
TOWLB-DES-XL-BLUSKY,UK,450,360,-90
TOWLB-SUM-LG-UNICN-R,UK,600,520,-80
TOWLB-CAB-XL-YELL-R,UK,270,210,-60
TOWLH-CLB-XL-PEPPNCH,UK,480,420,-60
TOWLH-CLB-XL-CHRYBMB,UK,240,180,-60
TOWLB-CAB-LG-LTBGE-R,UK,2800,2760,-40
TOWLH-CLB-LG-CHRYBMB,UK,180,140,-40
TOWLB-SUM-LG-RAINB-R,UK,600,560,-40
TOWLB-SUM-XL-RAINB-R,UK,270,240,-30
TOWLB-SUM-XL-UNICN-R,UK,1200,1170,-30
TOWLB-DES-XL-PSTPIER,UK,1200,1170,-30
TOWLH-CLB-LG-PEPPNCH,UK,340,320,-20
TOWLB-CAB-LG-PINK-R,US,3840,3440,-400
TOWLB-DES-LG-BLUSKY,US,1240,840,-400
TOWLB-DES-LG-MELLOW,US,600,200,-400
TOWLB-DES-LG-RSPROAD,US,600,200,-400
TOWLB-CAB-LG-BLUE-R,US,2520,2160,-360
TOWLB-DES-LG-PSTPIER,US,1000,640,-360
TOWLB-CAB-LG-NAVY-R,US,12680,12320,-360
TOWLB-SUM-LG-TUTFRU,US,1440,1160,-280
TOWLB-DES-XL-BLUSKY,US,660,420,-240
TOWLB-DES-XL-RSPROAD,US,270,60,-210
TOWLB-DES-XL-PSTPIER,US,360,150,-210
TOWLB-CAB-LG-GREEN-R,US,5560,5360,-200
TOWLB-DES-XL-MELLOW,US,270,90,-180
TOWLB-CAB-LG-YELL-R,US,1720,1560,-160
TOWLB-CAB-LG-LTBLU-R,US,2840,2680,-160
TOWLB-SUM-XL-OCEAN,US,1350,1200,-150
TOWLB-SUM-XL-TUTFRU,US,1680,1530,-150
TOWLB-CAB-LG-ORANG-R,US,1520,1400,-120
TOWLB-CAB-XL-NAVY-R,US,2850,2730,-120
TOWLB-CAB-XL-PINK-R,US,2310,2190,-120
TOWLB-CAB-XL-BLUE-R,US,570,450,-120
TOWLB-CAB-XL-YELL-R,US,750,660,-90
TOWLB-SUM-XL-MIAMI,US,300,210,-90
TOWLB-CAB-LG-LTPPL-R,US,2200,2120,-80
TOWLB-SUM-XL-COLAGN,US,90,30,-60
TOWLH-CLB-LG-CHRYBMB,US,300,240,-60
TOWLH-CLB-SM-CHRYBMB,US,100,50,-50
TOWLB-SUM-LG-UNICN-R,US,720,680,-40
TOWLH-CLB-XL-CHRYBMB,US,100,60,-40
TOWLB-CAB-LG-LTBGE-R,US,1600,1560,-40
TOWLB-CAB-XL-GREEN-R,US,1620,1590,-30
TOWLB-CAB-XL-LTBGE-R,US,1380,1350,-30
TOWLB-CAB-XL-LTBLU-R,US,870,840,-30
TOWLB-SUM-XL-UNICN-R,US,2850,2820,-30
TOWLB-CAB-XL-LTPPL-R,US,930,900,-30
TOWLH-CLB-XL-PEPPNCH,US,60,40,-20
TOWLH-CLB-LG-PEPPNCH,US,120,100,-20
